WY,flow
2006,505.7262139451119
2007,1705.1862848590156
2008,2367.573845750907
2009,2397.023919908996
2010,865.9748633933457
2011,1724.1968380385774
2012,3407.700219752531
2013,4149.9520784825045
2014,2950.0534539469795
2015,3593.4938175784464
2016,2316.284534259061
2017,6457.098377216015
2018,3061.495919622951
2019,3413.8266918366253
2020,3626.0634541000377
2021,420.52185809640883
2022,3511.075593683986
2023,2709.14454954369
2024,2582.0654465758503
2025,1644.1358879294382
2026,725.1737878169322
2027,219.12030417182334
2028,4749.210870096556
2029,3581.3257720504407
2030,1910.5836768613783
2031,756.5037444211277
2032,4321.804536071502
2033,3928.9444059540565
2034,252.7567511819636
2035,2083.4954513659313
2036,1337.4133196775226
2037,4200.047908032855
2038,1340.3517533489803
2039,2595.9690710610944
2040,174.18899055489965
2041,1930.0599656994898
2042,2737.831368918806
2043,5362.517982620514
2044,898.1310681181936
2045,2586.042933079131
2046,4193.140951479871
2047,2446.7616455954835
2048,220.38417592159013
2049,1094.4669856443418
2050,7444.34772362351
2051,4986.617158771675
2052,2446.090991198074
2053,4068.0790551117434
2054,567.4900149490468
2055,1635.0801180841343
2056,1849.4713648292786
2057,836.1983758062242
2058,958.3006543791548
2059,606.9223841211284
2060,1126.756149457528
2061,1358.098834758787
2062,417.6567465119069
2063,3651.7248543339333
2064,1592.0430993702223
2065,3234.9167868365294
2066,2718.5409412745557
2067,1952.5604445261743
2068,2256.152143963114
2069,1952.8685226635118
2070,2510.9149543877847
2071,728.790893489291
2072,2018.5378107405818
2073,1178.4789364794412
2074,2999.0410031098395
2075,1819.4803441764334
2076,5823.7431378715355
2077,4866.535589491217
2078,785.3455454867992
2079,1731.1881275493197
2080,1048.1616959670107
2081,1566.8365481008775
2082,1509.9074629707206
2083,914.421465531362
2084,1469.2566872811155
2085,1392.655355582354
2086,442.61550848478555
2087,1191.2324376674655
2088,4000.9130611211044
2089,5025.039668464455
2090,2004.8983086621652
2091,3700.710458108085
2092,863.6150935424897
2093,1730.3120176456744
2094,410.38317840475605
2095,1646.2675561558083
2096,1857.3135208969356
2097,1331.6683212020316
2098,4128.732853910693
2099,3081.8526922317083
2100,278.00963325941797
