date,flow
2014-12-01,1.1651348860853157
2014-12-02,1.1724657573053778
2014-12-03,1.1320316461487376
2014-12-04,1.087549395332688
2014-12-05,1.0350458513927108
2014-12-06,0.9917837418551788
2014-12-07,0.9936526108889836
2014-12-08,2.039453871508774
2014-12-09,2.431355487162256
2014-12-10,3.41688808354409
2014-12-11,2.2981726583134763
2014-12-12,2.296229879762649
2014-12-13,2.2443896534726595
2014-12-14,2.223308461471811
2014-12-15,2.4707890349461468
2014-12-16,2.1394242700035466
2014-12-17,2.1463477191480793
2014-12-18,2.1599730469233216
2014-12-19,2.1449152674985568
2014-12-20,1.906736006729134
2014-12-21,1.833551067564101
2014-12-22,1.7449234557012523
2014-12-23,1.7243666367272696
2014-12-24,1.859876954957696
2014-12-25,1.8024943438887897
2014-12-26,1.6801088372799753
2014-12-27,1.6022456528315558
2014-12-28,1.5112361775255867
2014-12-29,1.433073384656113
2014-12-30,1.3937086240171803
2014-12-31,1.2806061636124224
2015-01-01,0.5850638868087784
2015-01-02,0.5570135093205589
2015-01-03,0.5319650887743995
2015-01-04,0.5227567891603006
2015-01-05,0.4933756391611118
2015-01-06,0.465480564413636
2015-01-07,0.4458132064050964
2015-01-08,0.4210171034397627
2015-01-09,0.4794138875686098
2015-01-10,0.4800303622729573
2015-01-11,0.5101650183891783
2015-01-12,0.6672673265690837
2015-01-13,1.1379263549595902
2015-01-14,1.0688402938120272
2015-01-15,0.7164640930165901
2015-01-16,0.6078451757552589
2015-01-17,0.5905606211268347
2015-01-18,0.5729600189123768
2015-01-19,0.8004045722079168
2015-01-20,2.1270530180983402
2015-01-21,1.5704048530674346
2015-01-22,1.0165222683113704
2015-01-23,1.2161659349752156
2015-01-24,1.2791636619013955
2015-01-25,1.1212682665164135
2015-01-26,1.044027221596039
2015-01-27,1.092199514205822
2015-01-28,1.9963285478632948
2015-01-29,1.0587264939107628
2015-01-30,1.0293052264128837
2015-01-31,1.0103352646068144
2015-02-01,0.7635539268997003
2015-02-02,0.7206750588485544
2015-02-03,0.6925061483059232
2015-02-04,0.6424691161814652
2015-02-05,0.6059932619114263
2015-02-06,0.5680159733004321
2015-02-07,0.5263179759202882
2015-02-08,0.4881868535078384
2015-02-09,0.4567685854646739
2015-02-10,0.42454452681145016
2015-02-11,0.397006089009355
2015-02-12,0.3737854276840084
2015-02-13,0.3482344139937475
2015-02-14,0.3284593394297176
2015-02-15,0.3081986192531855
2015-02-16,0.2911548471960266
2015-02-17,0.27583266810224044
2015-02-18,0.3574504824822519
2015-02-19,0.2831868353538104
2015-02-20,0.2689091213912159
2015-02-21,0.2602939971717239
2015-02-22,0.2526848986767209
2015-02-23,0.2431727389703353
2015-02-24,0.22963744734567176
2015-02-25,0.2204768832768841
2015-02-26,0.2136489658484628
2015-02-27,0.2054550576500683
2015-02-28,0.1995129118472239
2015-03-01,0.23056000751853506
2015-03-02,0.2609453927130388
2015-03-03,0.4065024154681265
2015-03-04,0.4811014058031233
2015-03-05,0.3279620178173077
2015-03-06,0.3326805896999694
2015-03-07,0.5357957554869421
2015-03-08,1.4113463028618731
2015-03-09,0.4792098199719405
2015-03-10,0.43511006334584906
2015-03-11,0.5063304206858824
2015-03-12,0.5913101997335861
2015-03-13,0.7749005462359971
2015-03-14,0.9988679419295302
2015-03-15,1.1766921858712167
2015-03-16,1.3933307479944068
2015-03-17,1.5606279569066888
2015-03-18,2.098869105559652
2015-03-19,1.9248187387726081
2015-03-20,1.1229372520338268
2015-03-21,1.1730851936421092
2015-03-22,1.1358967095498875
2015-03-23,1.1033973496106524
2015-03-24,1.0650324964887996
2015-03-25,1.1137637021096192
2015-03-26,1.2238582204808297
2015-03-27,1.5113252124492629
2015-03-28,2.842084804453825
2015-03-29,4.208371453234745
2015-03-30,4.266294406112194
2015-03-31,3.525789841254349
2015-04-01,3.054433567022767
2015-04-02,1.935444507774146
2015-04-03,1.7160742348938056
2015-04-04,1.6494052885636843
2015-04-05,1.6663854574397001
2015-04-06,2.0011411913472577
2015-04-07,2.039431774682353
2015-04-08,2.257545624878595
2015-04-09,5.965698394491345
2015-04-10,2.0663722034287058
2015-04-11,1.8236818515144413
2015-04-12,1.7591073852203338
2015-04-13,2.2539939130621334
2015-04-14,2.4956194393689213
2015-04-15,2.2277562072500072
2015-04-16,2.0169806658091285
2015-04-17,1.6930721651779097
2015-04-18,1.601401533451961
2015-04-19,1.5436724909589994
2015-04-20,1.6180033424192728
2015-04-21,3.0397066367952585
2015-04-22,3.4207621341735
2015-04-23,1.9449316200173847
2015-04-24,1.844791862815812
2015-04-25,1.7721990271874188
2015-04-26,1.783237165406741
2015-04-27,1.7944263814975805
2015-04-28,2.9651633039939678
2015-04-29,3.4223772264288423
2015-04-30,2.490392837707696
2015-05-01,1.920196612804308
2015-05-02,1.7449847241988752
2015-05-03,1.6682415406130853
2015-05-04,1.7707058451575657
2015-05-05,1.2981057691777345
2015-05-06,1.3066506383901006
2015-05-07,1.2530604127331664
2015-05-08,1.1881496964789766
2015-05-09,1.176983527529739
2015-05-10,1.2000804950781072
2015-05-11,1.1404871512738273
2015-05-12,1.0675042078120045
2015-05-13,1.016571216307415
2015-05-14,1.0468642394156285
2015-05-15,1.5139664750894748
2015-05-16,2.3382306405685878
2015-05-17,3.1775281571844918
2015-05-18,5.6002685212709284
2015-05-19,7.111871054296676
2015-05-20,7.412473056529727
2015-05-21,6.530280944606678
2015-05-22,7.732148510319594
2015-05-23,7.439676228387478
2015-05-24,7.021967765001376
2015-05-25,6.273179441962973
2015-05-26,4.496954640701992
2015-05-27,3.5874584805263416
2015-05-28,4.546035443501764
2015-05-29,4.756964523985847
2015-05-30,3.374232433983631
2015-05-31,2.272807485855697
2015-06-01,2.238992457176998
2015-06-02,2.425368635590853
2015-06-03,3.0010377701993187
2015-06-04,2.5499477259524848
2015-06-05,2.953662229992966
2015-06-06,2.6857149748830484
2015-06-07,1.5581188834270103
2015-06-08,2.0960250316610285
2015-06-09,2.9167442570288795
2015-06-10,2.571724444769672
2015-06-11,2.1376140693492647
2015-06-12,2.035713705297218
2015-06-13,2.5919042726424504
2015-06-14,2.7928892320629557
2015-06-15,2.8508486459506512
2015-06-16,3.8399109118254433
2015-06-17,2.4279041114127358
2015-06-18,2.1282441306037865
2015-06-19,2.2566816491835717
2015-06-20,2.132619669557761
2015-06-21,2.0914676747386585
2015-06-22,2.2720561586623904
2015-06-23,2.2216992982202712
2015-06-24,1.8048965099681982
2015-06-25,0.6668120124701388
2015-06-26,0.5235316167065478
2015-06-27,0.6489959688619483
2015-06-28,1.0493622007954473
2015-06-29,1.04279935656653
2015-06-30,0.6962207411897171
2015-07-01,1.7121429587875796
2015-07-02,1.6538897041672582
2015-07-03,2.0647471983645747
2015-07-04,1.9687167890161432
2015-07-05,2.302240052802108
2015-07-06,2.81628832086036
2015-07-07,1.4719048238777992
2015-07-08,0.9785214318342212
2015-07-09,0.8651464070442335
2015-07-10,0.8112904981098106
2015-07-11,0.7673192450850435
2015-07-12,0.7267375975460598
2015-07-13,0.6840993408685521
2015-07-14,0.37937208913442266
2015-07-15,0.3241818313400045
2015-07-16,0.2859382338922121
2015-07-17,0.2466552302455749
2015-07-18,0.1701029090411038
2015-07-19,0.15269902996181647
2015-07-20,0.13744187533103303
2015-07-21,0.12256396778456292
2015-07-22,0.10950105524065863
2015-07-23,0.09705164871810988
2015-07-24,0.09001617469876083
2015-07-25,0.08560784058818731
2015-07-26,0.07948927027285828
2015-07-27,0.1475350706246259
2015-07-28,0.06729098994222935
2015-07-29,0.062429978264061575
2015-07-30,0.061229743286203675
2015-07-31,0.06129996614916058
2015-08-01,0.07381970976082065
2015-08-02,0.07204940376094451
2015-08-03,0.0727940260484697
2015-08-04,0.07360712558208599
2015-08-05,0.07082735046704364
2015-08-06,0.06462521862721042
2015-08-07,0.061551371283655974
2015-08-08,0.0640486450097295
2015-08-09,0.06551298781753634
2015-08-10,0.06486690221371309
2015-08-11,0.06499449011383279
2015-08-12,0.0642808184945675
