date,flow
2025-01-01,163020.31931022598
2025-02-01,154169.96203957617
2025-03-01,242706.33866466628
2025-04-01,329400.7871776163
2025-05-01,440122.05460316455
2025-06-01,100135.89868158479
2025-07-01,49561.350629437344
2025-08-01,35178.8830823614
2025-09-01,21881.4278522265
2025-10-01,19024.210220188394
2025-11-01,185169.1796261371
2025-12-01,142546.41011323687
2026-01-01,527378.760068868
2026-02-01,390158.6808842793
2026-03-01,403057.56475985947
2026-04-01,347686.27343909844
2026-05-01,637504.8273948254
2026-06-01,615453.1035704757
2026-07-01,243341.4361803685
2026-08-01,89164.36392596849
2026-09-01,44062.47326374748
2026-10-01,40587.22405736394
2026-11-01,111866.04612718926
2026-12-01,211787.71733139802
2027-01-01,252665.58766412616
2027-02-01,541436.5904096526
2027-03-01,597084.580886438
2027-04-01,438082.13389235473
2027-05-01,701465.9593629605
2027-06-01,1098078.038181435
2027-07-01,365456.36407961714
2027-08-01,115190.81623965211
2027-09-01,56915.8223093291
2027-10-01,45688.57055730501
2027-11-01,62658.760281427356
2027-12-01,161476.34339388594
2028-01-01,181532.87368652166
2028-02-01,290300.448459229
2028-03-01,318144.21452342364
2028-04-01,317520.6004136489
2028-05-01,850446.3480922414
2028-06-01,822199.6784592243
2028-07-01,183954.86205487818
2028-08-01,76333.03532732463
2028-09-01,40286.43019425431
2028-10-01,28210.99151883515
2028-11-01,54516.10559060536
2028-12-01,69798.88721819046
2029-01-01,87702.17421301051
2029-02-01,235667.94326852533
2029-03-01,236830.1969128205
2029-04-01,207211.51613327564
2029-05-01,501797.54103612166
2029-06-01,201730.31059050516
2029-07-01,81830.13888156899
2029-08-01,49397.04130510966
2029-09-01,133045.77195520452
2029-10-01,103099.1147872138
2029-11-01,226799.17103474186
2029-12-01,258823.41433706673
2030-01-01,355152.09983487445
2030-02-01,288655.79672273196
2030-03-01,385322.97570956795
2030-04-01,412922.2175697767
2030-05-01,606833.5232659834
2030-06-01,842998.9344581013
2030-07-01,342313.96885535435
2030-08-01,101727.24948005035
2030-09-01,185448.65405253533
2030-10-01,157678.70635346393
2030-11-01,67962.23324359806
2030-12-01,49615.044502812154
2031-01-01,97873.65985338131
2031-02-01,71000.09674450393
2031-03-01,99276.4930254543
2031-04-01,90828.30548808903
2031-05-01,84348.64322602857
2031-06-01,45977.37357352
2031-07-01,27924.8389966309
2031-08-01,21103.59633445826
2031-09-01,14604.120560665924
2031-10-01,54591.28394532878
2031-11-01,33838.437458876346
2031-12-01,529966.5559799004
2032-01-01,512932.99190186296
2032-02-01,340055.8102771027
2032-03-01,287081.4378731262
2032-04-01,475592.7754986456
2032-05-01,587589.3264285735
2032-06-01,476567.29648398777
2032-07-01,404364.5443230133
2032-08-01,102786.43171989586
2032-09-01,49986.05635126831
2032-10-01,40682.972081031934
2032-11-01,20656.34363330105
2032-12-01,121015.83629790845
2033-01-01,81442.63011176592
2033-02-01,146310.67426906215
2033-03-01,496903.5172987921
2033-04-01,488278.4500960453
2033-05-01,853923.1092414993
2033-06-01,627909.0739587109
2033-07-01,148615.38317096894
2033-08-01,62579.65816710772
2033-09-01,35613.7529996548
2033-10-01,27866.706686536407
2033-11-01,32461.90019717209
2033-12-01,76851.39635565238
2034-01-01,97721.30521605127
2034-02-01,127519.74345701523
2034-03-01,192863.7346490628
2034-04-01,289783.3175958731
2034-05-01,268777.2987369598
2034-06-01,92095.85593093248
2034-07-01,45172.56995337475
2034-08-01,37337.42638219491
2034-09-01,34613.4156785614
2034-10-01,22936.392094640465
2034-11-01,27838.807831012353
2034-12-01,66120.6264288533
2035-01-01,32271.873859095325
2035-02-01,172424.97237389037
2035-03-01,189310.73174498376
2035-04-01,243846.45899803456
2035-05-01,217459.39972579133
2035-06-01,114361.99228791585
2035-07-01,54266.879115490694
2035-08-01,46988.34613839245
2035-09-01,22389.763868373386
2035-10-01,18185.857161456595
2035-11-01,18830.617873063544
2035-12-01,198376.99003197293
2036-01-01,383378.07095513
2036-02-01,125613.98114410076
2036-03-01,288384.8495727711
2036-04-01,234615.4146107784
2036-05-01,214724.2555434494
2036-06-01,81920.14935884516
2036-07-01,42718.06820092547
2036-08-01,53911.351372686506
2036-09-01,61821.10231041002
2036-10-01,34424.10294761737
2036-11-01,64513.81310042696
2036-12-01,109095.8413942071
2037-01-01,102542.72323893989
2037-02-01,100339.35683650264
2037-03-01,260684.28108329765
2037-04-01,341047.5947100401
2037-05-01,282765.7858204762
2037-06-01,146840.5910439484
2037-07-01,57205.901544297216
2037-08-01,40688.57411115211
2037-09-01,22025.16826556343
2037-10-01,17145.99975778394
2037-11-01,29378.3333692757
2037-12-01,18480.050501080383
2038-01-01,67968.74689149183
2038-02-01,71352.47957262723
2038-03-01,146304.63052915534
2038-04-01,144889.10539671106
2038-05-01,108672.6454274933
2038-06-01,52924.3869159615
2038-07-01,32712.63077109684
2038-08-01,25268.737908323958
2038-09-01,17972.312680214705
2038-10-01,136943.46671874778
2038-11-01,91691.99227662859
2038-12-01,68813.36390601847
