metric,dry,moderate,wet
DS_Dur_WS,149,192,164
DS_Tim,296,295,321
DS_Mag_50,106,143,215
DS_Mag_90,459,761,756
FA_Dur,2,3,3
FA_Mag,559,1323,1831
FA_Tim,9,17,19
SP_ROC,0.068,0.075,0.086
SP_Dur,60,61,55
SP_Mag,6346,15980,23899
SP_Tim,223,241,255
Wet_BFL_Dur,114,118,180
Wet_BFL_Mag_10,406,1427,3056
Wet_BFL_Mag_50,1449,3757,5645
Wet_Tim,111,121,86
Peak_Tim_10,-1,119,83
Peak_Tim_2,353,193,216
Peak_Tim_5,-1,115,98
Peak_Dur_10,-1,2,2
Peak_Dur_2,1,4,19
Peak_Dur_5,-1,1,2
Peak_10,35656,35656,35656
Peak_2,10647,10647,10647
Peak_5,22125,22125,22125
Peak_Fre_10,-1,1,1
Peak_Fre_2,1,2,3
Peak_Fre_5,-1,1,1
