Date,01,02,03,04,05,06,07,08,09,10,11,12
2033-05-01,3527.2071549485313,1234.7403813567112,793.0504737789163,595.5350717854807,454.25021318020987,441.0667770155568,824.6605927726791,2457.0255154296347,4898.485338862927,6655.09976025253,10325.20985809867,6379.935487480919
2033-06-01,1234.7403813567112,793.0504737789163,595.5350717854807,454.25021318020987,441.0667770155568,824.6605927726791,2457.0255154296347,4898.485338862927,6655.09976025253,10325.20985809867,6379.935487480919,2413.024902913627
2033-07-01,793.0504737789163,595.5350717854807,454.25021318020987,441.0667770155568,824.6605927726791,2457.0255154296347,4898.485338862927,6655.09976025253,10325.20985809867,6379.935487480919,2413.024902913627,1064.715179616942
2033-08-01,595.5350717854807,454.25021318020987,441.0667770155568,824.6605927726791,2457.0255154296347,4898.485338862927,6655.09976025253,10325.20985809867,6379.935487480919,2413.024902913627,1064.715179616942,711.6612511968917
2033-09-01,454.25021318020987,441.0667770155568,824.6605927726791,2457.0255154296347,4898.485338862927,6655.09976025253,10325.20985809867,6379.935487480919,2413.024902913627,1064.715179616942,711.6612511968917,549.7444450946164
2033-10-01,441.0667770155568,824.6605927726791,2457.0255154296347,4898.485338862927,6655.09976025253,10325.20985809867,6379.935487480919,2413.024902913627,1064.715179616942,711.6612511968917,549.7444450946164,489.2300573279301
2033-11-01,824.6605927726791,2457.0255154296347,4898.485338862927,6655.09976025253,10325.20985809867,6379.935487480919,2413.024902913627,1064.715179616942,711.6612511968917,549.7444450946164,489.2300573279301,422.7306406270359
2033-12-01,2457.0255154296347,4898.485338862927,6655.09976025253,10325.20985809867,6379.935487480919,2413.024902913627,1064.715179616942,711.6612511968917,549.7444450946164,489.2300573279301,422.7306406270359,795.7481141942732
2034-01-01,3370.871508026524,5150.752585535347,9174.972989131667,4369.396701049941,1470.3470603029796,820.3863313669285,604.2257637331729,491.1398250465514,661.8482090489638,422.7306406270359,795.7481141942732,2574.8397808551404
2034-02-01,5150.752585535347,9174.972989131667,4369.396701049941,1470.3470603029796,820.3863313669285,604.2257637331729,491.1398250465514,661.8482090489638,422.7306406270359,795.7481141942732,2574.8397808551404,4462.479718965562
