Date,01,02,03,04,05,06,07,08,09,10,11,12
2025-01-01,141603.84674751424,131139.1064184667,157537.32730112833,153353.4955471592,105584.23160245975,32792.287682763366,20249.885943351703,16352.025859961566,12282.645561599327,13401.701299246128,50905.23218497922,80579.51693289563
2025-02-01,131139.1064184667,157537.32730112833,153353.4955471592,105584.23160245975,32792.287682763366,20249.885943351703,16352.025859961566,12282.645561599327,13401.701299246128,50905.23218497922,80579.51693289563,178200.24813149124
2025-03-01,165616.81063252094,153214.36889535046,110771.00719886308,37501.72156644169,22063.661324075903,17437.991007767007,13177.487910933527,13401.701299246128,50905.23218497922,80579.51693289563,178200.24813149124,157087.5241210924
2025-04-01,153110.0239064939,114661.08889616559,41033.79697920043,23423.99285961905,18252.46486862109,13848.619672934175,13401.701299246128,50905.23218497922,80579.51693289563,178200.24813149124,157087.5241210924,198291.42227481861
2025-05-01,114661.08889616559,41033.79697920043,23423.99285961905,18252.46486862109,13848.619672934175,13401.701299246128,50905.23218497922,80579.51693289563,178200.24813149124,157087.5241210924,198291.42227481861,153044.54448332294
2025-06-01,41033.79697920043,23423.99285961905,18252.46486862109,13848.619672934175,13401.701299246128,50905.23218497922,80579.51693289563,178200.24813149124,157087.5241210924,198291.42227481861,153044.54448332294,121131.57539247011
2025-07-01,23423.99285961905,18252.46486862109,13848.619672934175,13401.701299246128,50905.23218497922,80579.51693289563,178200.24813149124,157087.5241210924,198291.42227481861,153044.54448332294,121131.57539247011,51656.47220995456
2025-08-01,18252.46486862109,13848.619672934175,13401.701299246128,50905.23218497922,80579.51693289563,178200.24813149124,157087.5241210924,198291.42227481861,153044.54448332294,121131.57539247011,51656.47220995456,27018.037032651504
2025-09-01,13848.619672934175,13401.701299246128,50905.23218497922,80579.51693289563,178200.24813149124,157087.5241210924,198291.42227481861,153044.54448332294,121131.57539247011,51656.47220995456,27018.037032651504,19149.28615965176
2025-10-01,13401.701299246128,50905.23218497922,80579.51693289563,178200.24813149124,157087.5241210924,198291.42227481861,153044.54448332294,121131.57539247011,51656.47220995456,27018.037032651504,19149.28615965176,14484.506574034636
2025-11-01,50905.23218497922,80579.51693289563,178200.24813149124,157087.5241210924,198291.42227481861,153044.54448332294,121131.57539247011,51656.47220995456,27018.037032651504,19149.28615965176,14484.506574034636,14747.884618710737
2025-12-01,80579.51693289563,178200.24813149124,157087.5241210924,198291.42227481861,153044.54448332294,121131.57539247011,51656.47220995456,27018.037032651504,19149.28615965176,14484.506574034636,14747.884618710737,34114.68902093764
2026-01-01,365150.5465388031,249008.99134481838,277304.8234480178,153058.83814288984,134701.42083583007,80594.32622115697,36423.08472199774,20387.721669599585,15144.136616551395,14747.884618710737,34114.68902093764,88954.32648356522
2026-02-01,249008.99134481838,277304.8234480178,153058.83814288984,134701.42083583007,80594.32622115697,36423.08472199774,20387.721669599585,15144.136616551395,14747.884618710737,34114.68902093764,88954.32648356522,143660.9701214248
2026-03-01,232154.308491904,153050.67033742304,126947.22343962439,64058.40964332702,31048.77175665703,19680.044235343685,14767.205163684675,14747.884618710737,34114.68902093764,88954.32648356522,143660.9701214248,193520.3432364856
2026-04-01,153044.54448332294,121131.57539247011,51656.47220995456,27018.037032651504,19149.28615965176,14484.506574034636,14747.884618710737,34114.68902093764,88954.32648356522,143660.9701214248,193520.3432364856,217032.5927797475
2026-05-01,121131.57539247011,51656.47220995456,27018.037032651504,19149.28615965176,14484.506574034636,14747.884618710737,34114.68902093764,88954.32648356522,143660.9701214248,193520.3432364856,217032.5927797475,170193.0786868531
2026-06-01,51656.47220995456,27018.037032651504,19149.28615965176,14484.506574034636,14747.884618710737,34114.68902093764,88954.32648356522,143660.9701214248,193520.3432364856,217032.5927797475,170193.0786868531,138949.3734693405
2026-07-01,27018.037032651504,19149.28615965176,14484.506574034636,14747.884618710737,34114.68902093764,88954.32648356522,143660.9701214248,193520.3432364856,217032.5927797475,170193.0786868531,138949.3734693405,69653.92974268852
2026-08-01,19149.28615965176,14484.506574034636,14747.884618710737,34114.68902093764,88954.32648356522,143660.9701214248,193520.3432364856,217032.5927797475,170193.0786868531,138949.3734693405,69653.92974268852,32916.97770568159
2026-09-01,14484.506574034636,14747.884618710737,34114.68902093764,88954.32648356522,143660.9701214248,193520.3432364856,217032.5927797475,170193.0786868531,138949.3734693405,69653.92974268852,32916.97770568159,20223.290492752847
2026-10-01,14747.884618710737,34114.68902093764,88954.32648356522,143660.9701214248,193520.3432364856,217032.5927797475,170193.0786868531,138949.3734693405,69653.92974268852,32916.97770568159,20223.290492752847,14974.757918372645
