WY,flow
2006,225.04319766510454
2007,316.7542954490384
2008,2064.1977786089024
2009,2650.5921991544087
2010,4874.333471747227
2011,3385.501835988702
2012,875.3926680384384
2013,1871.285661091674
2014,2495.0688983571663
2015,4459.061569346727
2016,6041.354334219333
2017,628.5855325968546
2018,1984.6812570053646
2019,2059.8707799039967
2020,6251.350902932025
2021,2424.890559332597
2022,1899.453195715324
2023,414.103390465442
2024,1769.4753632334919
2025,1700.6633784815522
2026,3017.2070240754783
2027,5123.939999982521
2028,1234.0260051938403
2029,488.4590953133674
2030,1249.0882600121101
2031,2049.714194261736
2032,6222.4368799680715
2033,5034.125386767033
2034,1112.6366324902983
2035,796.4613260553616
2036,3770.646983509886
2037,2272.9912561940396
2038,5138.70173497018
2039,596.1915613986844
2040,1610.4134578835924
2041,543.5946331454211
2042,612.7429442419099
2043,7987.461896108843
2044,4844.703740160952
2045,440.4686222735398
2046,588.0118812889659
2047,2312.1381452318924
2048,4933.172590838663
2049,1684.7088585122578
2050,558.55156861025
2051,1783.8616132894133
2052,1381.1151116648525
2053,1188.559352023667
2054,4999.653057941018
2055,3968.9797426336627
2056,1068.4862203815658
2057,1473.4286501171807
2058,270.0755326058951
2059,2963.090741763124
2060,2256.96943087374
2061,1605.0734407952261
2062,993.5420228025557
2063,558.662572713732
2064,1460.2852275487342
2065,1894.2982158915017
2066,2829.3408541423837
2067,783.6399331544641
2068,3066.0265854869476
2069,1684.846035576403
2070,1589.92279487557
2071,4965.867132680419
2072,2027.559684212374
2073,2932.6307737467
2074,2209.7818904732276
2075,1898.634432695501
2076,266.2431784268624
2077,427.15905577449126
2078,1801.6815391792568
2079,784.9875144913361
2080,3000.882583606029
2081,454.67924146741694
2082,1697.6952415518435
2083,508.10443626549176
2084,3470.7375442741836
2085,2367.6938733609973
2086,455.9193766592407
2087,1050.7852707637044
2088,1172.4160024212138
2089,4100.085896317022
2090,901.9124556704554
2091,1749.335255246741
2092,1707.9989330470441
2093,959.8381560422415
2094,717.3880371150933
2095,555.9612840060084
2096,1571.853842564751
2097,2167.8672341720485
2098,1943.1557207281874
2099,2808.728440894046
2100,64.76453919780943
