WY,flow
2006,3610.187078596429
2007,3999.9618261096784
2008,638.8344997443623
2009,734.7120652935089
2010,4481.651564680766
2011,924.2242628751746
2012,557.6923890445823
2013,5143.096351983805
2014,1942.2106234767562
2015,1341.657893045105
2016,371.61772177167995
2017,1212.237481319839
2018,2114.4093511515953
2019,1625.8351099215433
2020,2341.806893118592
2021,3714.6098506071908
2022,652.6778012745311
2023,2925.8212840017713
2024,4283.0862256906885
2025,1756.935803631056
2026,2197.7873683178786
2027,2510.311037717028
2028,2004.0917212750228
2029,652.2982512758383
2030,4394.123377271992
2031,2068.0023487737813
2032,2039.6560069181528
2033,426.22209663687374
2034,1138.198363125606
2035,1421.1200009575073
2036,4075.705740364156
2037,717.4306052683232
2038,1376.8206149475564
2039,3062.5616129554387
2040,1346.0510338777244
2041,2677.2843151961933
2042,1561.6213554380474
2043,4429.794190743952
2044,2976.0438735154535
2045,3792.430339773074
2046,1996.6625255773542
2047,737.8450090545638
2048,996.0498548049003
2049,1767.4086307380041
2050,5117.590976011462
2051,274.93487312272754
2052,446.69281358187754
2053,1829.9502078451467
2054,457.95870886432033
2055,602.9575887315931
2056,2584.4452372234277
2057,451.33012772024466
2058,555.0039848127465
2059,229.8157668231194
2060,867.0125026606809
2061,1925.2381628362236
2062,811.8482770385531
2063,1066.8790879551188
2064,1759.128766155235
2065,2730.6429213230153
2066,1125.935182879891
2067,2260.3338915855
2068,1156.3323550695375
2069,1687.890112539413
2070,3744.618095993084
2071,1227.5951842006727
2072,4178.077493979901
2073,3871.183279114873
2074,1350.9256224676442
2075,1620.5087386599414
2076,694.4284041726444
2077,1476.0693208655578
2078,1239.2127734204844
2079,3543.0929102716987
2080,577.6705637244005
2081,1335.5205452351036
2082,2926.5389551010944
2083,2582.5309828930485
2084,1228.9189807293835
2085,216.15803337522445
2086,3310.6708493250044
2087,1682.5630236080515
2088,2144.5637679619235
2089,3642.6738585022
2090,2835.77770242946
2091,1411.5077436535187
2092,2601.410956912601
2093,653.4466109970224
2094,3052.2928352176177
2095,5522.514772370333
2096,648.5604601007024
2097,1510.6520225014797
2098,7306.189183825618
2099,1061.6958869235848
2100,123.47302137489808
