WY,flow
2006,2755.9436038264585
2007,2678.2882160640333
2008,991.5562583098096
2009,4100.322638744587
2010,2212.6688164463085
2011,1146.7554209805955
2012,3061.259246293237
2013,2849.082714857063
2014,2042.3381028864278
2015,3194.2812630863405
2016,2709.6122225537474
2017,663.5965838387411
2018,2812.4720267408275
2019,1209.0745292142744
2020,4885.29357213789
2021,2045.6434002901526
2022,4789.590886061029
2023,2565.294208118687
2024,1963.9163776036546
2025,950.74924147117
2026,1529.1531279903686
2027,8171.391837779292
2028,425.9444132242533
2029,3455.994187009854
2030,2351.8809968867204
2031,2611.328880330049
2032,4287.794277948151
2033,4354.693204009944
2034,686.7042647485551
2035,2874.8951674900127
2036,4076.8531713660454
2037,3581.919490298856
2038,2842.5181926283126
2039,1333.3215782921343
2040,1872.674241167485
2041,3076.3531183677737
2042,1998.0813274745847
2043,1924.6338154814696
2044,1940.0474500474431
2045,2863.019152800482
2046,1109.6403818839244
2047,1408.413839323705
2048,516.799762933959
2049,1958.5922037681592
2050,2744.269756705479
2051,4886.602602570568
2052,1801.5617657330986
2053,803.8919265693029
2054,901.0397002032151
2055,6323.312641827435
2056,4274.6335735318025
2057,4162.446202548874
2058,2327.0510672106107
2059,2521.381881033801
2060,1535.4074011892965
2061,4023.572625842781
2062,2688.0079744431005
2063,2160.055211674525
2064,5632.038530038052
2065,3497.616753970268
2066,330.75830084822564
2067,3663.024726267788
2068,2787.7557115163722
2069,366.2520302556004
2070,846.7635360064378
2071,4249.411555299235
2072,1339.1638088616319
2073,1045.8744702471906
2074,2557.471911288511
2075,4623.13170185621
2076,446.7498998328718
2077,4789.54954734098
2078,4771.026376186771
2079,754.2817713544435
2080,5850.145265344348
2081,781.7799277769786
2082,2190.2833364770777
2083,5066.326206599991
2084,5183.706642100243
2085,1824.6404160924392
2086,4981.965161567453
2087,1384.1158255488144
2088,622.2746972977573
2089,1100.5508118237053
2090,826.9721841373989
2091,8115.738164432193
2092,6801.79104918831
2093,5112.852299043838
2094,625.6358967810969
2095,3685.5280491002027
2096,3733.0862078719997
2097,526.9419593964598
2098,1558.4073433632748
2099,1318.0101053855215
2100,140.42055225535813
