WY,flow
1950,1631.7395850353237
1951,4279.4581514791935
1952,3626.186045641367
1953,1623.8682532651721
1954,1793.333407803541
1955,1355.415489352053
1956,4355.913360645984
1957,1695.7106457765665
1958,3062.7562243564794
1959,1132.1263782775882
1960,1339.5111303773256
1961,918.5064286146094
1962,2171.4339214283787
1963,2835.792248700776
1964,1273.3093476956396
1965,3584.545644685222
1966,1434.1739936638644
1967,3476.4782325216484
1968,1142.7599455000818
1969,4492.660943100386
1970,2580.7548318018235
1971,2019.7291299826672
1972,1355.5520808482254
1973,2222.258590568821
1974,2652.9945508062256
1975,2336.965609922651
1976,752.2025883905274
1977,413.7583300182912
1978,3685.935736187994
1979,2235.0402847715527
1980,3910.7244009934057
1981,1378.2673568520438
1982,4739.236016564455
1983,5720.227117613485
1984,3212.846172066644
1985,1489.8067409060477
1986,3579.9016571977245
1987,701.6814903447098
1988,1094.8364637014618
1989,1621.3590584662904
1990,1226.9756562010343
1991,1340.9217400443943
1992,1156.6329345189943
1993,3213.647538311674
1994,807.9641900370375
1995,4658.187717118331
1996,2984.869674216616
1997,4281.985599214725
1998,3913.7210752264723
1999,2302.6815612295613
2000,2408.502723450695
2001,1287.24715657146
2002,1916.739186733865
2003,2184.0197281252813
2004,1580.0883509660734
2005,3888.809363736339
2006,3989.0462916512524
2007,869.0411271055278
2008,1483.905564198703
2009,2117.7953846701953
2010,2313.150149846642
2011,4543.597743982622
2012,1193.2462674346616
2013,1021.1862571401587
2014,60.41212771370084
