StationID,Duration,SensorNumber,SensorType,DateTime,ObsDate,Value,DataFlag,SensorUnits
SNS,M,65,MON FNF,1956-02-01,1956-02-29T08:00:00Z,102400,,AF
SNS,M,65,MON FNF,1956-03-01,1956-03-31T08:00:00Z,120600,,AF
SNS,M,65,MON FNF,1956-04-01,1956-04-30T07:00:00Z,204200,,AF
SNS,M,65,MON FNF,1956-05-01,1956-05-31T07:00:00Z,396200,,AF
SNS,M,65,MON FNF,1956-06-01,1956-06-30T07:00:00Z,283000,,AF
SNS,M,65,MON FNF,1956-07-01,1956-07-31T07:00:00Z,93400,,AF
SNS,M,65,MON FNF,1956-08-01,1956-08-31T07:00:00Z,20100,,AF
SNS,M,65,MON FNF,1956-09-01,1956-09-30T07:00:00Z,10400,,AF
SNS,M,65,MON FNF,1956-10-01,1956-10-31T08:00:00Z,11200,,AF
SNS,M,65,MON FNF,1956-11-01,1956-11-30T08:00:00Z,16200,,AF
SNS,M,65,MON FNF,1956-12-01,1956-12-31T08:00:00Z,13500,,AF
SNS,M,65,MON FNF,1957-01-01,1957-01-31T08:00:00Z,14600,,AF
SNS,M,65,MON FNF,1957-02-01,1957-02-28T08:00:00Z,61300,,AF
SNS,M,65,MON FNF,1957-03-01,1957-03-31T08:00:00Z,115800,,AF
SNS,M,65,MON FNF,1957-04-01,1957-04-30T07:00:00Z,136200,,AF
SNS,M,65,MON FNF,1957-05-01,1957-05-31T07:00:00Z,280600,,AF
SNS,M,65,MON FNF,1957-06-01,1957-06-30T07:00:00Z,188500,,AF
SNS,M,65,MON FNF,1957-07-01,1957-07-31T07:00:00Z,38100,,AF
SNS,M,65,MON FNF,1957-08-01,1957-08-31T07:00:00Z,10800,,AF
SNS,M,65,MON FNF,1957-09-01,1957-09-30T08:00:00Z,7200,,AF
SNS,M,65,MON FNF,1957-10-01,1957-10-31T08:00:00Z,12540,,AF
SNS,M,65,MON FNF,1957-11-01,1957-11-30T08:00:00Z,14680,,AF
SNS,M,65,MON FNF,1957-12-01,1957-12-31T08:00:00Z,19050,,AF
SNS,M,65,MON FNF,1958-01-01,1958-01-31T08:00:00Z,35080,,AF
SNS,M,65,MON FNF,1958-02-01,1958-02-28T08:00:00Z,117440,,AF
SNS,M,65,MON FNF,1958-03-01,1958-03-31T08:00:00Z,171630,,AF
