StationID,Duration,SensorNumber,SensorType,DateTime,ObsDate,Value,DataFlag,SensorUnits
MRC,M,65,MON FNF,1956-02-01,1956-02-29T08:00:00Z,81700,,AF
MRC,M,65,MON FNF,1956-03-01,1956-03-31T08:00:00Z,88300,,AF
MRC,M,65,MON FNF,1956-04-01,1956-04-30T07:00:00Z,154400,,AF
MRC,M,65,MON FNF,1956-05-01,1956-05-31T07:00:00Z,318600,,AF
MRC,M,65,MON FNF,1956-06-01,1956-06-30T07:00:00Z,287300,,AF
MRC,M,65,MON FNF,1956-07-01,1956-07-31T07:00:00Z,108500,,AF
MRC,M,65,MON FNF,1956-08-01,1956-08-31T07:00:00Z,23900,,AF
MRC,M,65,MON FNF,1956-09-01,1956-09-30T07:00:00Z,9000,,AF
MRC,M,65,MON FNF,1956-10-01,1956-10-31T08:00:00Z,8200,,AF
MRC,M,65,MON FNF,1956-11-01,1956-11-30T08:00:00Z,12800,,AF
MRC,M,65,MON FNF,1956-12-01,1956-12-31T08:00:00Z,10200,,AF
MRC,M,65,MON FNF,1957-01-01,1957-01-31T08:00:00Z,14200,,AF
MRC,M,65,MON FNF,1957-02-01,1957-02-28T08:00:00Z,40900,,AF
MRC,M,65,MON FNF,1957-03-01,1957-03-31T08:00:00Z,62800,,AF
MRC,M,65,MON FNF,1957-04-01,1957-04-30T07:00:00Z,88000,,AF
MRC,M,65,MON FNF,1957-05-01,1957-05-31T07:00:00Z,200500,,AF
MRC,M,65,MON FNF,1957-06-01,1957-06-30T07:00:00Z,175800,,AF
MRC,M,65,MON FNF,1957-07-01,1957-07-31T07:00:00Z,29700,,AF
MRC,M,65,MON FNF,1957-08-01,1957-08-31T07:00:00Z,4600,,AF
MRC,M,65,MON FNF,1957-09-01,1957-09-30T08:00:00Z,0,,AF
MRC,M,65,MON FNF,1957-10-01,1957-10-31T08:00:00Z,4500,,AF
MRC,M,65,MON FNF,1957-11-01,1957-11-30T08:00:00Z,9000,,AF
MRC,M,65,MON FNF,1957-12-01,1957-12-31T08:00:00Z,22300,,AF
MRC,M,65,MON FNF,1958-01-01,1958-01-31T08:00:00Z,32200,,AF
MRC,M,65,MON FNF,1958-02-01,1958-02-28T08:00:00Z,83400,,AF
MRC,M,65,MON FNF,1958-03-01,1958-03-31T08:00:00Z,163300,,AF
MRC,M,65,MON FNF,1958-04-01,1958-04-30T07:00:00Z,247800,,AF
MRC,M,65,MON FNF,1958-05-01,1958-05-31T07:00:00Z,410700,,AF
MRC,M,65,MON FNF,1958-06-01,1958-06-30T07:00:00Z,294900,,AF
MRC,M,65,MON FNF,1958-07-01,1958-07-31T07:00:00Z,102200,,AF
MRC,M,65,MON FNF,1958-08-01,1958-08-31T07:00:00Z,27900,,AF
MRC,M,65,MON FNF,1958-09-01,1958-09-30T08:00:00Z,11200,,AF
MRC,M,65,MON FNF,1958-10-01,1958-10-31T08:00:00Z,5100,,AF
MRC,M,65,MON FNF,1958-11-01,1958-11-30T08:00:00Z,5700,,AF
MRC,M,65,MON FNF,1958-12-01,1958-12-31T08:00:00Z,5400,,AF
MRC,M,65,MON FNF,1959-01-01,1959-01-31T08:00:00Z,21000,,AF
MRC,M,65,MON FNF,1959-02-01,1959-02-28T08:00:00Z,55700,,AF
MRC,M,65,MON FNF,1959-03-01,1959-03-31T08:00:00Z,55500,,AF
MRC,M,65,MON FNF,1959-04-01,1959-04-30T07:00:00Z,118200,,AF
MRC,M,65,MON FNF,1959-05-01,1959-05-31T07:00:00Z,112300,,AF
MRC,M,65,MON FNF,1959-06-01,1959-06-30T07:00:00Z,51000,,AF
MRC,M,65,MON FNF,1959-07-01,1959-07-31T07:00:00Z,6000,,AF
MRC,M,65,MON FNF,1959-08-01,1959-08-31T07:00:00Z,0,,AF
MRC,M,65,MON FNF,1959-09-01,1959-09-30T08:00:00Z,19500,,AF
MRC,M,65,MON FNF,1959-10-01,1959-10-31T08:00:00Z,6450,,AF
MRC,M,65,MON FNF,1959-11-01,1959-11-30T08:00:00Z,3040,,AF
MRC,M,65,MON FNF,1959-12-01,1959-12-31T08:00:00Z,3630,,AF
MRC,M,65,MON FNF,1960-01-01,1960-01-31T08:00:00Z,10050,,AF
MRC,M,65,MON FNF,1960-02-01,1960-02-29T08:00:00Z,55020,,AF
MRC,M,65,MON FNF,1960-03-01,1960-03-31T08:00:00Z,60590,,AF
MRC,M,65,MON FNF,1960-04-01,1960-04-30T07:00:00Z,125160,,AF
MRC,M,65,MON FNF,1960-05-01,1960-05-31T07:00:00Z,146520,,AF
MRC,M,65,MON FNF,1960-06-01,1960-06-30T07:00:00Z,64100,,AF
MRC,M,65,MON FNF,1960-07-01,1960-07-31T07:00:00Z,7700,,AF
MRC,M,65,MON FNF,1960-08-01,1960-08-31T07:00:00Z,0,,AF
MRC,M,65,MON FNF,1960-09-01,1960-09-30T08:00:00Z,250,,AF
MRC,M,65,MON FNF,1960-10-01,1960-10-31T08:00:00Z,1940,,AF
MRC,M,65,MON FNF,1960-11-01,1960-11-30T08:00:00Z,8080,,AF
MRC,M,65,MON FNF,1960-12-01,1960-12-31T08:00:00Z,15920,,AF
MRC,M,65,MON FNF,1961-01-01,1961-01-31T08:00:00Z,8360,,AF
MRC,M,65,MON FNF,1961-02-01,1961-02-28T08:00:00Z,17550,,AF
MRC,M,65,MON FNF,1961-03-01,1961-03-31T08:00:00Z,29860,,AF
MRC,M,65,MON FNF,1961-04-01,1961-04-30T08:00:00Z,84000,,AF
MRC,M,65,MON FNF,1961-05-01,1961-05-31T07:00:00Z,94920,,AF
MRC,M,65,MON FNF,1961-06-01,1961-06-30T07:00:00Z,43900,,AF
MRC,M,65,MON FNF,1961-07-01,1961-07-31T07:00:00Z,3930,,AF
MRC,M,65,MON FNF,1961-08-01,1961-08-31T07:00:00Z,2930,,AF
MRC,M,65,MON FNF,1961-09-01,1961-09-30T08:00:00Z,1100,,AF
MRC,M,65,MON FNF,1961-10-01,1961-10-31T08:00:00Z,1020,,AF
MRC,M,65,MON FNF,1961-11-01,1961-11-30T08:00:00Z,3410,,AF
MRC,M,65,MON FNF,1961-12-01,1961-12-31T08:00:00Z,10470,,AF
MRC,M,65,MON FNF,1962-01-01,1962-01-31T08:00:00Z,9970,,AF
MRC,M,65,MON FNF,1962-02-01,1962-02-28T08:00:00Z,159090,,AF
MRC,M,65,MON FNF,1962-03-01,1962-03-31T08:00:00Z,73690,,AF
MRC,M,65,MON FNF,1962-04-01,1962-04-30T07:00:00Z,198100,,AF
MRC,M,65,MON FNF,1962-05-01,1962-05-31T07:00:00Z,205700,,AF
MRC,M,65,MON FNF,1962-06-01,1962-06-30T07:00:00Z,204800,,AF
MRC,M,65,MON FNF,1962-07-01,1962-07-31T07:00:00Z,51900,,AF
MRC,M,65,MON FNF,1962-08-01,1962-08-31T07:00:00Z,9500,,AF
MRC,M,65,MON FNF,1962-09-01,1962-09-30T07:00:00Z,0,,AF
MRC,M,65,MON FNF,1962-10-01,1962-10-31T08:00:00Z,6250,,AF
MRC,M,65,MON FNF,1962-11-01,1962-11-30T08:00:00Z,3640,,AF
MRC,M,65,MON FNF,1962-12-01,1962-12-31T08:00:00Z,6430,,AF
MRC,M,65,MON FNF,1963-01-01,1963-01-31T08:00:00Z,41700,,AF
MRC,M,65,MON FNF,1963-02-01,1963-02-28T08:00:00Z,172760,,AF
MRC,M,65,MON FNF,1963-03-01,1963-03-31T08:00:00Z,61040,,AF
MRC,M,65,MON FNF,1963-04-01,1963-04-30T07:00:00Z,131170,,AF
MRC,M,65,MON FNF,1963-05-01,1963-05-31T07:00:00Z,267500,,AF
MRC,M,65,MON FNF,1963-06-01,1963-06-30T07:00:00Z,210300,,AF
MRC,M,65,MON FNF,1963-07-01,1963-07-31T07:00:00Z,68100,,AF
MRC,M,65,MON FNF,1963-08-01,1963-08-31T07:00:00Z,13700,,AF
MRC,M,65,MON FNF,1963-09-01,1963-09-30T07:00:00Z,1470,,AF
MRC,M,65,MON FNF,1963-10-01,1963-10-31T08:00:00Z,5960,,AF
MRC,M,65,MON FNF,1963-11-01,1963-11-30T08:00:00Z,38300,,AF
MRC,M,65,MON FNF,1963-12-01,1963-12-31T08:00:00Z,21670,,AF
MRC,M,65,MON FNF,1964-01-01,1964-01-31T08:00:00Z,21950,,AF
MRC,M,65,MON FNF,1964-02-01,1964-02-29T08:00:00Z,18880,,AF
MRC,M,65,MON FNF,1964-03-01,1964-03-31T08:00:00Z,28190,,AF
MRC,M,65,MON FNF,1964-04-01,1964-04-30T07:00:00Z,75680,,AF
MRC,M,65,MON FNF,1964-05-01,1964-05-31T07:00:00Z,139670,,AF
