Month,Day,Critical,Dry,Below,Above,Wet
3,26,428.5468182,505.63625,389.9542105,555.2631579,295.6284848
3,27,440.6681818,547.935625,403.4315789,605.8947368,298.98
3,28,375.1354545,558.871875,416.7578947,628.0526316,319.3084848
3,29,391.8322727,514.744375,479.7157895,650.4736842,333.5790909
3,30,431.0868182,530.5625,493.7157895,643.8947368,319.9815152
3,31,574.9772727,544.625,453.1578947,656.9473684,349.9815152
4,1,530.2909091,659.0625,466.6,625.6315789,403.9787879
4,2,535.9272727,648.75,519.2947368,739.4210526,408.9181818
4,3,524.2,679,598.4947368,738.1052632,458.9484848
4,4,485.8968182,664.68125,534.4421053,718.1578947,464.8272727
4,5,511.7909091,671.8125,535.2736842,681,457.3727273
4,6,553.6090909,710.13125,571.1947368,689.0526316,445.1606061
4,7,562.8772727,693.33125,594.4210526,666.3684211,488.5242424
4,8,534.2454545,717.19375,605.6842105,592.7894737,485.0090909
4,9,496.8272727,658.6875,604.6315789,670.5789474,456.130303
4,10,501.6090909,637.7625,624.3684211,681.7368421,493.8272727
4,11,511.7559091,602.6,645.5263158,745.8421053,477.6363636
4,12,510.2090909,564.00625,688.2631579,738.7368421,465.969697
4,13,576.6636364,606.59375,760.2105263,673.6842105,474.5757576
4,14,571.6272727,577.80625,769.7894737,608.3894737,500.5454545
4,15,550.4409091,622.84375,774,596.9473684,526.1212121
4,16,601.5272727,617.25625,742.1052632,664.1578947,522.7272727
4,17,530.8,656.51875,755.8421053,657.4210526,537.5151515
4,18,602.9090909,693.35,744.9473684,673.1578947,545.8787879
4,19,592.0454545,682.6875,788.6842105,686.7368421,525.969697
4,20,625.2272727,712.0625,810.7894737,672.5789474,533.9090909
4,21,599.7727273,740.7875,793.5789474,637.4736842,544.1212121
4,22,595.8181818,703.5375,768,596.4210526,561.4848485
4,23,565.7727273,696.9875,739.1052632,716,586.1515152
4,24,548.1818182,721.625,742.1578947,743,627.5454545
4,25,590.0909091,709.0625,785.0526316,759.6842105,640.4848485
4,26,557.4681818,676.4375,841.3157895,761.3684211,635.7272727
4,27,646.8181818,799.125,829.3157895,778.5263158,639.4242424
4,28,621.3545455,693.375,879.2631579,761.1052632,653.969697
4,29,572.05,755.5625,896.9473684,765,679.969697
4,30,608.1818182,803.75,915.0526316,879.7894737,675.7272727
5,1,591.7727273,755.0625,921.3157895,907.8947368,685.3030303
5,2,559.2272727,809.8125,922.5263158,946.8421053,685.1212121
