Month,Day,Critical,Dry,Below,Above,Wet
3,22,0.003768302,0.002951604,0.002158874,0.002262349,0.001865459
3,23,0.003769683,0.003120615,0.002540773,0.002544794,0.001581503
3,24,0.00364898,0.00279095,0.002821,0.002550765,0.001816146
3,25,0.003799415,0.003155286,0.002945447,0.00264577,0.001994537
3,26,0.003615718,0.003354291,0.003106504,0.002808844,0.002074795
3,27,0.003462681,0.00349801,0.002999596,0.002989481,0.00218236
3,28,0.00361702,0.003553287,0.002908677,0.002999852,0.002283329
3,29,0.003421924,0.003491211,0.002741741,0.002961177,0.002177415
3,30,0.003685418,0.003744431,0.002940997,0.002921615,0.002336597
3,31,0.003726264,0.003630411,0.003037655,0.002869001,0.002426278
4,1,0.004008228,0.004169711,0.003329844,0.003008467,0.002850408
4,2,0.00413465,0.004598062,0.003474247,0.003227649,0.002806895
4,3,0.004235038,0.004722654,0.003328656,0.003394661,0.002988576
4,4,0.004409583,0.004562088,0.003481899,0.003534275,0.003018424
4,5,0.004417867,0.004382855,0.003735827,0.00383761,0.003014038
4,6,0.004476778,0.004659261,0.003693539,0.004090069,0.003042007
4,7,0.004259021,0.004203886,0.003667764,0.004034978,0.002996049
4,8,0.004359093,0.004296233,0.003824229,0.003630481,0.003172997
4,9,0.004041756,0.004404374,0.003879203,0.004115026,0.003224111
4,10,0.004066212,0.004631184,0.003915006,0.003929417,0.003265029
4,11,0.004270342,0.004447367,0.003675577,0.003895031,0.003036025
4,12,0.004522988,0.00420608,0.004132889,0.003916291,0.002925259
4,13,0.004134058,0.004749854,0.004335307,0.003726059,0.002890615
4,14,0.004186126,0.004283292,0.004206833,0.003862863,0.002890216
4,15,0.004271328,0.004363289,0.004261243,0.003673371,0.002974057
4,16,0.004282767,0.004233718,0.00437397,0.00431635,0.002969811
4,17,0.004523777,0.004603985,0.004353229,0.004288989,0.003053352
4,18,0.004920794,0.004702035,0.004297248,0.004376618,0.00309124
4,19,0.004662033,0.004468425,0.004621857,0.004358685,0.003257798
4,20,0.005083702,0.004394942,0.004553794,0.004313392,0.00353487
4,21,0.004854526,0.004027307,0.005172606,0.004262923,0.003713602
4,22,0.004687475,0.004405032,0.00526141,0.003841344,0.004068023
4,23,0.00450938,0.004273179,0.005214894,0.004573671,0.004064874
4,24,0.004353177,0.004446051,0.005057422,0.004898321,0.004400404
4,25,0.004383747,0.004477967,0.005058228,0.005047327,0.004460541
4,26,0.004172517,0.004414113,0.005076552,0.005079494,0.004515851
4,27,0.004434434,0.004369936,0.00518932,0.005281927,0.004272573
4,28,0.004164283,0.003958211,0.005287589,0.005158249,0.004268165
4,29,0.003859174,0.004164841,0.005391697,0.004414146,0.004586588
4,30,0.003873128,0.004237008,0.005273291,0.004980034,0.004576513
5,1,0.004090274,0.004063501,0.005239461,0.004932338,0.004660579
5,2,0.004116505,0.004234595,0.005242683,0.004632108,0.004881816
5,3,0.004164826,0.004289214,0.005236642,0.004724359,0.00510022
5,4,0.004814528,0.004484876,0.00520986,0.004699586,0.004942688
5,5,0.004727157,0.004321898,0.005226171,0.004664091,0.005058135
5,6,0.004649233,0.004308956,0.00531417,0.00453653,0.005161407
5,7,0.004287027,0.004283072,0.005363505,0.005073578,0.004951714
5,8,0.004148337,0.00452765,0.005381629,0.005165459,0.004996633
5,9,0.003938489,0.004404813,0.005259397,0.005359203,0.005054147
5,10,0.003624998,0.004176686,0.005646028,0.005273423,0.005235293
5,11,0.004206854,0.004629649,0.005817797,0.005339422,0.005389152
5,12,0.004287895,0.004457677,0.005670998,0.005133292,0.005378866
5,13,0.004241349,0.004301278,0.005871563,0.004582193,0.005245368
5,14,0.004111377,0.004030378,0.005856058,0.004915145,0.00509004
5,15,0.004211667,0.004415122,0.005850218,0.00470809,0.005070309
5,16,0.0042306,0.004512295,0.005830685,0.004752089,0.00520958
5,17,0.00390285,0.004645442,0.006123277,0.005001479,0.00534864
5,18,0.004267225,0.00452085,0.006127707,0.005251793,0.0052418
5,19,0.004127865,0.004290091,0.006010912,0.005182097,0.005301412
5,20,0.004361776,0.00460201,0.005887069,0.005050839,0.005246942
5,21,0.003891174,0.004671764,0.005683886,0.005440361,0.005290392
5,22,0.003905966,0.004532695,0.005580583,0.005743363,0.005342553
5,23,0.004548312,0.004855362,0.005595484,0.005593618,0.005540492
5,24,0.004289157,0.004958238,0.005571723,0.005702322,0.005325551
5,25,0.004170821,0.004823556,0.005395926,0.005663869,0.00516592
5,26,0.004395284,0.004728577,0.005484328,0.00547752,0.005205906
5,27,0.004358995,0.004849878,0.005521984,0.005332212,0.005283885
