Week,Fraction
1,0.015117511
2,0.014964899
3,0.010673824
4,0.014991831
5,0.014264682
6,0.015288077
7,0.014973877
8,0.015180351
9,0.015171374
10,0.015413757
11,0.015593299
12,0.015674094
13,0.015683071
14,0.015575345
15,0.015943408
16,0.0165359
17,0.022110706
18,0.021841392
19,0.022146615
20,0.022559563
21,0.022766038
22,0.023412392
23,0.023412392
24,0.023394438
25,0.023295689
26,0.022990466
27,0.022954558
28,0.022864786
29,0.022891718
30,0.022828878
31,0.022810923
32,0.023035352
33,0.024229312
34,0.024031815
35,0.022783992
36,0.024417832
37,0.023259781
38,0.022721152
39,0.022209455
40,0.022510189
41,0.02194014
42,0.022402463
43,0.021284809
44,0.018582688
45,0.014915525
46,0.016688511
47,0.015045694
48,0.015894034
49,0.015081602
50,0.015144442
51,0.015238702
52,0.015256657
