Month,Day,Critical,Dry,Below,Above,Wet
1,1,9.05432E-05,0.000286298,0.000167462,0.000293621,8.07944E-05
1,2,0.000142957,0.000269928,0.000100136,0.000247983,0.00024631
1,3,0.000267864,0.000429698,0.00023051,0.000291166,0.000249765
1,4,0.000372254,0.000222893,0.000280962,0.000276098,0.000340317
1,5,0.000381749,0.000175543,0.000311281,0.000302089,0.000317065
1,6,0.000419064,0.000343161,0.000219325,0.000336912,0.000199832
1,7,0.000478978,0.000419887,0.000146779,0.0002981,0.000117176
1,8,0.000472941,0.000320671,4.02962E-05,0.000264265,6.82523E-05
1,9,0.000416827,0.000310937,0.000155241,0.000270184,5.14244E-05
1,10,0.000313615,0.000516514,0.000167252,0.000360241,7.34448E-05
1,11,0.000226655,0.000432182,0.00015999,0.00029508,7.35415E-05
1,12,0.000520784,0.000431855,0.000345038,0.000348687,0.000187946
1,13,0.000584909,0.000438228,0.000363966,0.00032895,0.000207178
1,14,0.000550961,0.000460855,0.000394324,0.000405295,0.000123052
1,15,0.000575715,0.000569745,0.000283164,0.000300354,0.000130475
1,16,0.000618856,0.000570496,0.000418028,0.000429452,0.000180856
1,17,0.000496644,0.000439953,0.000323261,0.000543165,0.000240287
1,18,0.000381635,0.000471268,0.000314478,0.000530472,0.000315314
1,19,0.000699172,0.000888877,0.000470029,0.000374672,0.000377362
1,20,0.000736393,0.000985654,0.000397111,0.000301406,0.00034589
1,21,0.000825948,0.000990258,0.000369648,0.000282465,0.000339448
1,22,0.000948795,0.000778598,0.000364496,0.00037822,0.000387755
1,23,0.000922494,0.001026194,0.000407993,0.000377879,0.000418182
1,24,0.000517451,0.000861343,0.000292298,0.0003729,0.00034836
1,25,0.00052945,0.000611723,0.000237874,0.000407338,0.000280918
1,26,0.000746686,0.000747348,0.000240435,0.000349578,0.000269867
1,27,0.000668814,0.000571987,0.000238036,0.000184697,0.00032335
1,28,0.000706923,0.000445426,0.000151913,0.000211695,0.000290486
1,29,0.000725695,0.000482335,0.000148444,0.000181007,0.000317137
1,30,0.000767805,0.000341383,0.000248199,0.000213865,0.000377438
1,31,0.000500663,0.000473247,0.000203553,0.000317018,0.000431046
2,1,0.000471259,0.00046544,0.00031051,0.00035461,0.000464412
2,2,0.000823236,0.000695724,0.000446335,0.000195301,0.000453996
2,3,0.000910776,0.000489868,0.000430793,0.000247722,0.000363815
2,4,0.000807107,0.000414402,0.000280672,0.00021113,0.000336776
2,5,0.001016325,0.000407136,0.000261046,0.000241238,0.00027772
2,6,0.000707624,0.000384056,0.000238353,0.000247455,0.000362517
2,7,0.000488869,0.00044379,0.000204902,0.000239077,0.000378892
2,8,0.000418367,0.000404599,0.00019933,0.000269179,0.00040125
2,9,0.000542129,0.000372278,0.000301772,0.0002968,0.000435269
2,10,0.00052119,0.000424879,0.000304078,0.000445606,0.000489733
2,11,0.000456035,0.000435304,0.000366,0.000499989,0.000455195
2,12,0.000427577,0.000321588,0.000649254,0.000338011,0.000453552
2,13,0.000575816,0.000366624,0.000560815,0.00032443,0.00048445
2,14,0.000945174,0.0002749,0.00071799,0.000277544,0.00062996
2,15,0.000692712,0.000305391,0.000841863,0.000275412,0.000697692
