node,Lake Eleanor,Lake Eleanor,Don Pedro Reservoir,Don Pedro Reservoir,Cherry Lake,Cherry Lake
IFRs,Baseline,natural_flow,Baseline,natural_flow,Baseline,natural_flow
Date,,,,,,
1990-10-01,1416.5172727272727,1416.5172727272727,244.29014903671393,244.29014903671393,1420.7004926108375,1420.7004926108375
1990-10-02,1404.5,1404.5,245.82401109918533,245.82401109918533,1412.0554638844626,1412.0554638844626
1990-10-03,1404.5,1404.5,246.01135330393902,246.01135330393902,1410.115056799375,1410.115056799375
1990-10-04,1404.5,1404.5,246.0608450834717,246.0608450834717,1409.213221007719,1409.213221007719
1990-10-05,1404.5,1404.5,246.0888795420083,246.0888795420083,1408.4776721075968,1408.4776721075968
1990-10-06,1404.5,1404.5,246.10741997093587,246.10741997093587,1407.7966836664368,1407.7966836664368
1990-10-07,1404.5,1404.5,246.1183691870767,246.1183691870767,1407.165336259781,1407.165336259781
1990-10-08,1404.5,1404.5,246.12260041775053,246.12260041775053,1406.592858582879,1406.592858582879
1990-10-09,1404.5,1404.5,245.64022013058508,245.64022013058508,1406.0734754750038,1406.0734754750038
1990-10-10,1404.5,1404.5,245.1563879058747,245.1563879058747,1405.602030850659,1405.602030850659
1990-10-11,1404.5,1404.5,244.67906624459988,244.67906624459988,1405.1741863197346,1405.1741863197346
1990-10-12,1404.5,1404.5,244.39917554476233,244.39917554476233,1404.7858014263277,1404.7858014263277
1990-10-13,1404.5,1404.5,244.39467318999627,244.39467318999627,1404.4330866685632,1404.4330866685632
1990-10-14,1404.5,1404.5,244.39059596753324,244.39059596753324,1404.1123066685361,1404.1123066685361
1990-10-15,1404.5,1404.5,244.37785267459944,244.37785267459944,1403.8207992879757,1403.8207992879757
1990-10-16,1404.5,1404.5,244.36427671122428,244.36427671122428,1403.5558086386059,1403.5558086386059
1990-10-17,1404.5,1404.5,244.35235195170483,244.35235195170483,1403.3148035064685,1403.3148035064685
1990-10-18,1404.5,1404.5,244.34598393703797,244.34598393703797,1403.0955300166925,1403.0955300166925
1990-10-19,1404.5,1404.5,244.33867877004397,244.33867877004397,1402.955618538444,1402.955618538444
1990-10-20,1404.5,1404.5,244.33467364198611,244.33467364198611,1402.7857766682403,1402.7857766682403
1990-10-21,1404.5,1404.5,244.32512385856919,244.32512385856919,1402.6080980534389,1402.6080980534389
1990-10-22,1404.5,1404.5,244.30554315132468,244.30554315132468,1402.4454185683846,1402.4454185683846
1990-10-23,1404.5,1404.5,244.28906579544997,244.28906579544997,1402.2969040848363,1402.2969040848363
1990-10-24,1404.5,1404.5,244.26953973541703,244.26953973541703,1402.1598509690668,1402.1598509690668
1990-10-25,1404.5,1404.5,244.25196069447642,244.25196069447642,1402.030919774624,1402.030919774624
1990-10-26,1404.5,1404.5,244.2338346752255,244.2338346752255,1401.9100153781546,1401.9100153781546
