node,Turlock Irrigation District,Turlock Irrigation District,Modesto Irrigation District,Modesto Irrigation District
IFRs,Baseline,natural_flow,Baseline,natural_flow
Date,,,,
1990-10-01,2.165865004556462,2.165865004556462,1.228624061283882,1.228624061283882
1990-10-02,2.104532421013847,2.104532421013847,1.1441159271081802,1.1441159271081802
1990-10-03,1.7764709628047046,1.7764709628047046,1.1330302478130123,1.1330302478130123
1990-10-04,1.8559848426905936,1.8559848426905936,0.9244468180122392,0.9244468180122392
1990-10-05,1.9697267975078114,1.9697267975078114,1.0001049655657648,1.0001049655657648
1990-10-06,2.02735258989073,2.02735258989073,0.9956238984038026,0.9956238984038026
1990-10-07,1.8732968644118146,1.8732968644118146,0.9429523990277867,0.9429523990277867
1990-10-08,1.736279385550734,1.736279385550734,0.8712436255754142,0.8712436255754142
1990-10-09,1.181070436266402,1.181070436266402,0.8846694804743404,0.8846694804743404
1990-10-10,0.8837970765482942,0.8837970765482942,0.9407687461156777,0.9407687461156777
1990-10-11,0.8657101320768091,0.8657101320768091,0.8077119525347252,0.8077119525347252
1990-10-12,0.8632237282423788,0.8632237282423788,0.8369643492861998,0.8369643492861998
1990-10-13,1.16257592264383,1.16257592264383,0.9028002945297274,0.9028002945297274
1990-10-14,1.0093809646509864,1.0093809646509864,0.9426853422703849,0.9426853422703849
1990-10-15,0.8725970453413824,0.8725970453413824,0.8685395750544714,0.8685395750544714
1990-10-16,0.47564170645456244,0.47564170645456244,0.8170290867778549,0.8170290867778549
1990-10-17,0.6742585835776607,0.6742585835776607,0.6193671488096176,0.6193671488096176
1990-10-18,0.4666805987626354,0.4666805987626354,0.5555865724164861,0.5555865724164861
1990-10-19,0.36527863137377575,0.36527863137377575,0.7871118719958694,0.7871118719958694
1990-10-20,0.7610027556713536,0.7610027556713536,0.8029049309014931,0.8029049309014931
1990-10-21,0.8245696224729638,0.8245696224729638,0.5187835694289249,0.5187835694289249
1990-10-22,0.8931015631834521,0.8931015631834521,0.5225243810775455,0.5225243810775455
1990-10-23,0.6920849003377297,0.6920849003377297,0.5691269954711555,0.5691269954711555
1990-10-24,0.6751773542636026,0.6751773542636026,0.5497286703406079,0.5497286703406079
1990-10-25,0.6186079934943179,0.6186079934943179,0.36151578135820467,0.36151578135820467
1990-10-26,0.3890583965685091,0.3890583965685091,0.45167567561124655,0.45167567561124655
1990-10-27,0.728405730720371,0.728405730720371,0.5774287492635596,0.5774287492635596
1990-10-28,0.7844986918747229,0.7844986918747229,0.6108544121106861,0.6108544121106861
1990-10-29,0.661400434230463,0.661400434230463,0.38728635503847864,0.38728635503847864
1990-10-30,0.540177613382002,0.540177613382002,0.36092962808251766,0.36092962808251766
1990-10-31,0.443839712029799,0.443839712029799,0.2986864433849424,0.2986864433849424
1990-11-01,0.48850758956174284,0.48850758956174284,0.27191944947690044,0.27191944947690044
1990-11-02,0.5827712964865922,0.5827712964865922,0.28690246311233847,0.28690246311233847
1990-11-03,0.7117201435577467,0.7117201435577467,0.3890617580435017,0.3890617580435017
1990-11-04,0.6375147165239669,0.6375147165239669,0.27415393192289517,0.27415393192289517
1990-11-05,0.844046323613336,0.844046323613336,0.3901320021181042,0.3901320021181042
1990-11-06,0.6738425072905927,0.6738425072905927,0.3725018186305959,0.3725018186305959
1990-11-07,0.643311943006981,0.643311943006981,0.3345587818115883,0.3345587818115883
1990-11-08,0.6128045800033176,0.6128045800033176,0.2567992767817696,0.2567992767817696
1990-11-09,0.5360361849112789,0.5360361849112789,0.23217196420493477,0.23217196420493477
1990-11-10,0.6780581798571496,0.6780581798571496,0.361626315423957,0.361626315423957
1990-11-11,0.45249688295440676,0.45249688295440676,0.21378780929811528,0.21378780929811528
1990-11-12,0.6871778296287214,0.6871778296287214,0.36271632653951547,0.36271632653951547
1990-11-13,0.5500690923998451,0.5500690923998451,0.4027716128777916,0.4027716128777916
1990-11-14,0.5141179357443757,0.5141179357443757,0.34437533639559925,0.34437533639559925
1990-11-15,0.4438319782698162,0.4438319782698162,0.26177008246863503,0.26177008246863503
1990-11-16,0.3490802710900602,0.3490802710900602,0.25915962283548244,0.25915962283548244
1990-11-17,0.5664662103151157,0.5664662103151157,0.47956172608278175,0.47956172608278175
1990-11-18,0.5726586319332445,0.5726586319332445,0.4747547044495494,0.4747547044495494
