node,Lake Eleanor,Lake Eleanor,Hetch Hetchy Reservoir,Hetch Hetchy Reservoir,Don Pedro Reservoir,Don Pedro Reservoir,Cherry Lake,Cherry Lake
IFRs,Baseline,natural_flow,Baseline,natural_flow,Baseline,natural_flow,Baseline,natural_flow
Date,,,,,,,,
1990-10-01,0.0,0.0,352.0315790996567,352.0315790996567,2151.1746644894884,2151.1746644894884,195.6959876327506,195.6959876327506
1990-10-02,0.0,0.0,351.05092458824095,351.05092458824095,2159.623490805512,2159.623490805512,184.02173517001052,184.02173517001052
1990-10-03,0.0,0.0,350.0702693437227,350.0702693437227,2161.8554889283705,2161.8554889283705,178.59593622676928,178.59593622676928
1990-10-04,0.0,0.0,349.0880441788583,349.0880441788583,2163.119797050243,2163.119797050243,174.17058464734464,174.17058464734464
1990-10-05,0.0,0.0,348.1024943172678,348.1024943172678,2163.9559400007306,2163.9559400007306,170.20572511891126,170.20572511891126
1990-10-06,0.0,0.0,347.1169437230582,347.1169437230582,2164.4497316991474,2164.4497316991474,166.61428987121278,166.61428987121278
1990-10-07,0.0,0.0,346.13139239621756,346.13139239621756,2164.6405532660933,2164.6405532660933,163.35773652883663,163.35773652883663
1990-10-08,0.0,0.0,345.17041652714653,345.17041652714653,2142.8859931022876,2142.8859931022876,160.40321294797255,160.40321294797255
1990-10-09,0.0,0.0,344.2094399258416,344.2094399258416,2121.0659529354316,2121.0659529354316,157.72138860948652,157.72138860948652
1990-10-10,0.0,0.0,343.2484625925769,343.2484625925769,2099.539528506463,2099.539528506463,155.28758447455607,155.28758447455607
1990-10-11,0.0,0.0,342.2874845273994,342.2874845273994,2086.916916781003,2086.916916781003,153.07824745796194,153.07824745796194
1990-10-12,0.0,0.0,341.32405915501477,341.32405915501477,2086.7138679619625,2086.7138679619625,151.07182088510527,151.07182088510527
1990-10-13,0.0,0.0,340.35888074063695,340.35888074063695,2086.5299919128506,2086.5299919128506,149.24705596691825,149.24705596691825
1990-10-14,0.0,0.0,339.3930073296244,339.3930073296244,2085.9552902921805,2085.9552902921805,147.58880906438597,147.58880906438597
1990-10-15,0.0,0.0,338.40521709599153,338.40521709599153,2085.343036599639,2085.343036599639,146.08140323928242,146.08140323928242
1990-10-16,0.0,0.0,337.4149795556927,337.4149795556927,2084.8052494940976,2084.8052494940976,144.71043961876347,144.71043961876347
1990-10-17,0.0,0.0,336.42474128446185,336.42474128446185,2084.51806247199,2084.51806247199,143.46309698020232,143.46309698020232
1990-10-18,0.0,0.0,335.56560579224197,335.56560579224197,2084.188611416245,2084.188611416245,142.66720709573966,142.66720709573966
1990-10-19,0.0,0.0,334.7441797725607,334.7441797725607,2084.007986706619,2084.007986706619,141.70105744064585,141.70105744064585
1990-10-20,0.0,0.0,333.7759584897659,333.7759584897659,2083.5773071298986,2083.5773071298986,140.69032827120242,140.69032827120242
1990-10-21,0.0,0.0,332.78722700498014,332.78722700498014,2082.6942493326915,2082.6942493326915,139.76492202015575,139.76492202015575
1990-10-22,0.0,0.0,331.94415983005337,331.94415983005337,2081.951147594801,2081.951147594801,138.9200937284955,138.9200937284955
1990-10-23,0.0,0.0,331.004452191154,331.004452191154,2081.0705542972496,2081.0705542972496,138.14046370928256,138.14046370928256
1990-10-24,0.0,0.0,330.0647438224081,330.0647438224081,2080.2777683689283,2080.2777683689283,137.4274197680546,137.4274197680546
1990-10-25,0.0,0.0,329.1225881485971,329.1225881485971,2079.4603146154964,2079.4603146154964,136.77532884283505,136.77532884283505
1990-10-26,0.0,0.0,328.18043174544584,328.18043174544584,2078.8322109626806,2078.8322109626806,136.17864935051057,136.17864935051057
1990-10-27,0.0,0.0,327.2369703483169,327.2369703483169,2078.1952656112044,2078.1952656112044,135.63211501658915,135.63211501658915
