node,Moccasin Fish Hatchery,Moccasin Fish Hatchery,IFR bl Lake Eleanor,IFR bl Lake Eleanor,IFR bl Hetch Hetchy Reservoir,IFR bl Hetch Hetchy Reservoir,IFR at La Grange,IFR at La Grange,IFR bl Cherry Lake,IFR bl Cherry Lake,Don Pedro Lake Spillway,Don Pedro Lake Spillway
IFRs,Baseline,natural_flow,Baseline,natural_flow,Baseline,natural_flow,Baseline,natural_flow,Baseline,natural_flow,Baseline,natural_flow
Date,,,,,,,,,,,,
1990-10-01,0.0,0.0,18.139401489573242,18.139401489573242,0.0,0.0,0.0,0.0,0.0,0.0,3.394489065840344,3.394489065840344
1990-10-02,0.0,0.0,0.0093982652976352,0.0093982652976352,0.0,0.0,0.11189581953229366,0.11189581953229366,0.0,0.0,3.360544167654321,3.360544167654321
1990-10-03,0.0,0.0,0.0093951239419093,0.0093951239419093,0.0,0.0,0.41743750790771794,0.41743750790771794,0.0,0.0,3.326938718525435,3.326938718525435
1990-10-04,0.0,0.0,0.0093920146551008,0.0093920146551008,0.0,0.0,0.5132376632595281,0.5132376632595281,0.0,0.0,3.2936693239623613,3.2936693239623613
1990-10-05,0.0,0.0,0.0093888480255079,0.0093888480255079,0.0,0.0,0.29090086034511997,0.29090086034511997,0.0,0.0,3.260732623418696,3.260732623418696
1990-10-06,0.0,0.0,0.0093857852098569,0.0093857852098569,0.0,0.0,0.20514880165897553,0.20514880165897553,0.0,0.0,3.2281252899535082,3.2281252899535082
1990-10-07,0.0,0.0,0.0093829399220229,0.0093829399220229,0.0,0.0,0.3795947664556806,0.3795947664556806,0.0,0.0,3.195844029895282,3.195844029895282
1990-10-08,0.0,0.0,0.0093802563603204,0.0093802563603204,0.0,0.0,22.23081625614881,22.23081625614881,0.0,0.0,24.838339267274957,24.838339267274957
1990-10-09,0.0,0.0,0.0093775606679482,0.0093775606679482,0.0,0.0,22.56387309868831,22.56387309868831,0.0,0.0,24.62961301542905,24.62961301542905
1990-10-10,0.0,0.0,0.009374758675308,0.009374758675308,0.0,0.0,22.263264099593272,22.263264099593272,0.0,0.0,24.087829922257242,24.087829922257242
1990-10-11,0.0,0.0,0.0093719714735853,0.0093719714735853,0.0,0.0,13.28610638834207,13.28610638834207,0.0,0.0,14.959528472953604,14.959528472953604
1990-10-12,0.0,0.0,0.009369383769279,0.009369383769279,0.0,0.0,0.6367286982394644,0.6367286982394644,0.0,0.0,2.336916775768043,2.336916775768043
1990-10-13,0.0,0.0,0.0093669369514875,0.0093669369514875,0.0,0.0,0.06849174000924674,0.06849174000924674,0.0,0.0,2.133867957182804,2.133867957182804
1990-10-14,0.0,0.0,0.0093644887914732,0.0093644887914732,0.0,0.0,0.4059519650384482,0.4059519650384482,0.0,0.0,2.3580182719598195,2.3580182719598195
1990-10-15,0.0,0.0,0.0093620430656083,0.0093620430656083,0.0,0.0,0.5035717415655937,0.5035717415655937,0.0,0.0,2.2447083619614476,2.2447083619614476
1990-10-16,0.0,0.0,0.0093595938885296,0.0093595938885296,0.0,0.0,0.7411078826759954,0.7411078826759954,0.0,0.0,2.0337786759084127,2.0337786759084127
1990-10-17,0.0,0.0,0.0093571719408041,0.0093571719408041,0.0,0.0,0.36607989062979407,0.36607989062979407,0.0,0.0,1.6597056230170724,1.6597056230170724
1990-10-18,0.0,0.0,0.0207359055934141,0.0207359055934141,0.0,0.0,0.6383933909906729,0.6383933909906729,0.0,0.0,1.6606605621697945,1.6606605621697945
1990-10-19,0.0,0.0,0.010463359257455,0.010463359257455,0.0,0.0,0.2369114981998357,0.2369114981998357,0.0,0.0,1.3893020015694808,1.3893020015694808
1990-10-20,0.0,0.0,0.0093501585928071,0.0093501585928071,0.0,0.0,0.0,-1.1102230246251565e-16,0.0,0.0,1.5639076865728465,1.5639076865728465
1990-10-21,0.0,0.0,0.009347863165653,0.009347863165653,0.0,0.0,0.5875893238480425,0.5875893238480425,0.0,0.0,1.9309425157499311,1.9309425157499311
1990-10-22,0.0,0.0,0.00934558073046,0.00934558073046,0.0,0.0,0.29476207731201753,0.29476207731201753,0.0,0.0,1.7103880215730154,1.7103880215730154
1990-10-23,0.0,0.0,0.0093432680237937,0.0093432680237937,0.0,0.0,0.521448877961348,0.521448877961348,0.0,0.0,1.7826607737702331,1.7826607737702331
1990-10-24,0.0,0.0,0.0093409160629697,0.0093409160629697,0.0,0.0,0.4033407010597976,0.4033407010597976,0.0,0.0,1.628246725664008,1.628246725664008
1990-10-25,0.0,0.0,0.0093385229787065,0.0093385229787065,0.0,0.0,0.6118170796881361,0.6118170796881361,0.0,0.0,1.5919408545406588,1.5919408545406588
1990-10-26,0.0,0.0,0.0093361122617944,0.0093361122617944,0.0,0.0,0.5064245331575274,0.5064245331575274,0.0,0.0,1.347158605337283,1.347158605337283
1990-10-27,0.0,0.0,0.0093337229463418,0.0093337229463418,0.0,0.0,0.0,0.0,0.0,0.0,1.3058344799839305,1.3058344799839305
1990-10-28,0.0,0.0,0.0093313592480627,0.0093313592480627,0.0,0.0,0.2775162057536902,0.2775162057536902,0.0,0.0,1.6728693097390992,1.6728693097390992
1990-10-29,0.0,0.0,0.0093290200553701,0.0093290200553701,0.0,0.0,0.7137011442711141,0.7137011442711141,0.0,0.0,1.7623879335400559,1.7623879335400559
1990-10-30,0.0,0.0,0.0109422912133386,0.0109422912133386,0.0,0.0,0.5146143781356014,0.5146143781356014,0.0,0.0,1.415721619600121,1.415721619600121
1990-10-31,0.0,0.0,0.0832844605281939,0.0832844605281939,0.0,0.0,0.5256159167115357,0.5256159167115357,0.0,0.0,1.268142072126277,1.268142072126277
1990-11-01,0.0,0.0,0.0384250621311983,0.0384250621311983,0.0,0.0,0.3491339473930772,0.3491339473930772,0.0,0.0,1.1095609864317204,1.1095609864317204
1990-11-02,0.0,0.0,0.0125042713232285,0.0125042713232285,0.0,0.0,0.2577881104165939,0.2577881104165939,0.0,0.0,1.1274618700155246,1.1274618700155246
1990-11-03,0.0,0.0,0.0138014248785558,0.0138014248785558,0.0,0.0,0.13592668872985086,0.13592668872985086,0.0,0.0,1.2367085903310993,1.2367085903310993
