Water Year,SJVI (maf)
2006,3.5
2007,2.8855041869278883
2008,1.1668019019575728
2009,1.3364963184674892
2010,0.9769728589263034
2011,0.7517672453536395
2012,0.850476600283984
2013,1.9757388967509588
2014,1.9473014346748647
2015,8.325951947636028
2016,4.296736429472314
2017,3.374830517581543
2018,2.291485597626467
2019,2.483090253489888
2020,0.8324991894022273
2021,1.3586574074162154
2022,3.1270258100601116
2023,1.494056807854555
2024,2.0460369598841526
2025,1.0623585950113217
2026,0.6897906446638276
2027,2.5000499117648696
2028,1.8143453353942052
2029,2.0569650981464522
2030,4.950578751870322
2031,2.410292625888693
2032,2.336308768816562
2033,2.9707879466560985
2034,2.273812483518555
2035,2.7768481694934213
2036,1.384185316673753
2037,0.9846279764306172
2038,2.1931444801590887
2039,2.7258797048932393
2040,1.5016767819912546
2041,1.140380151670068
2042,3.3392939167190607
2043,3.5753282150697134
2044,2.2087471937684318
2045,3.8056425774554565
2046,1.1509912080181337
2047,0.9418348678476711
2048,2.3130400066269834
2049,4.165202259768808
2050,5.813038611225027
2051,4.288331721631371
2052,4.890039528097491
2053,2.9084293415863813
2054,1.1011460768886185
2055,2.082672660175315
2056,2.2712450642699156
2057,5.118177329338469
2058,3.1619435000023524
2059,1.9641666871522236
2060,2.15623091003932
2061,2.030022181962622
2062,1.34058141744926
2063,3.580962057906305
2064,2.908958832269021
2065,3.291759471399039
2066,4.771472851408177
2067,3.0571735807120657
2068,3.686996681864702
2069,1.2211504349522335
2070,2.1575405499441374
2071,0.6715826480997297
2072,2.614243445973052
2073,2.8671056959909995
2074,2.794369374756442
2075,6.764729275548155
2076,2.5192472004331874
2077,3.4763588300956556
2078,3.3260029272088967
2079,2.572425031637676
2080,1.518034020709612
2081,1.9244801021795388
2082,2.683540027382713
2083,5.1391076856472075
2084,2.7793223057874292
2085,1.4157531834991852
2086,1.742710231478443
2087,2.7202150542935266
2088,1.249515945973665
2089,0.8698660224770156
2090,0.7081581074428839
2091,0.5439172187935389
2092,1.5727524853237889
2093,1.6217144381911734
2094,3.3647148615426006
2095,5.479976758515929
2096,2.8876291783957067
2097,1.493363089933813
2098,1.599659286903942
2099,1.8499375434224472
