date,flow
2015-01-01,327.7709984300766
2015-02-01,271.3336881948358
2015-03-01,381.07593994233616
2015-04-01,373.2619601970778
2015-05-01,418.06253746986624
2015-06-01,242.5967345218524
2015-07-01,144.4705921837861
2015-08-01,32.3945368801553
2015-09-01,13.761343153944306
2015-10-01,10.901529363889146
2015-11-01,45.29965895359461
2015-12-01,56.756690611958064
2016-01-01,93.27332600770305
2016-02-01,221.0716418518831
2016-03-01,224.2790351695089
2016-04-01,326.1759976789634
2016-05-01,256.16261285133163
2016-06-01,296.8776261663779
2016-07-01,55.65811722340143
2016-08-01,32.21052241245424
2016-09-01,12.259018739123796
2016-10-01,26.55761692691509
2016-11-01,55.46828401609463
2016-12-01,99.29458095943369
2017-01-01,167.7895402640888
2017-02-01,469.8019603806917
2017-03-01,406.69825832783476
2017-04-01,333.25112764790276
2017-05-01,312.09816044229717
2017-06-01,450.1596686480056
2017-07-01,335.82040928233306
2017-08-01,91.54195103899553
2017-09-01,22.676458166153434
2017-10-01,78.90097361522226
2017-11-01,46.90645271477921
2017-12-01,41.44098628679349
2018-01-01,44.287333934997115
2018-02-01,180.62327808516136
2018-03-01,300.60975223764206
2018-04-01,209.9562147608788
2018-05-01,158.83240800775226
2018-06-01,53.77787209530418
2018-07-01,18.306130621896024
2018-08-01,17.024756107533197
2018-09-01,9.786364197982321
2018-10-01,14.095493164306445
2018-11-01,20.478658839590054
2018-12-01,52.08141060804406
2019-01-01,35.67252071357455
2019-02-01,128.26778070526768
2019-03-01,402.6805561669458
2019-04-01,318.1794790779042
2019-05-01,411.84382898150733
2019-06-01,441.39227116209275
2019-07-01,186.40273080657903
2019-08-01,33.707741798902056
2019-09-01,14.574769884388585
2019-10-01,16.148139347961298
2019-11-01,10.612237958175688
2019-12-01,26.69900326435397
2020-01-01,150.03110570952046
2020-02-01,146.00446998906557
2020-03-01,157.96944443987172
2020-04-01,278.40952534524496
2020-05-01,247.6413879895885
2020-06-01,89.72079567624905
2020-07-01,23.215037103607155
2020-08-01,13.128746122143214
2020-09-01,36.069724738225275
2020-10-01,35.7998790076102
2020-11-01,76.37929320975817
2020-12-01,169.74281238851668
2021-01-01,239.79843758028048
2021-02-01,198.00527096859722
2021-03-01,419.29243262689334
2021-04-01,376.6963086212162
2021-05-01,549.726037414011
2021-06-01,499.44646735729043
2021-07-01,204.71360890881235
2021-08-01,39.128076753628925
2021-09-01,14.925264016037598
2021-10-01,11.241067882974841
2021-11-01,19.71201455940116
2021-12-01,89.21932410296168
2022-01-01,101.53654585438079
2022-02-01,141.8023207890598
2022-03-01,190.91023641861875
2022-04-01,158.59534018281323
2022-05-01,209.1842164390357
2022-06-01,92.93686532880841
2022-07-01,26.086020565617755
2022-08-01,14.26700321870119
2022-09-01,9.83619103604859
2022-10-01,19.54358762688485
2022-11-01,52.913367460675666
2022-12-01,39.11338545798008
2023-01-01,69.28939086763992
2023-02-01,252.25954701051572
2023-03-01,429.3253859465267
2023-04-01,399.0310483019235
2023-05-01,414.6312007174659
2023-06-01,246.96861608840246
2023-07-01,69.37082271301524
2023-08-01,18.726636714136315
2023-09-01,24.532646910135036
2023-10-01,18.04414401212895
2023-11-01,34.64830503235254
2023-12-01,45.987997568962015
2024-01-01,78.32507160852693
2024-02-01,117.57752629160755
2024-03-01,161.6781515618928
2024-04-01,171.87265696245777
2024-05-01,188.48190119215616
2024-06-01,69.1480621573297
2024-07-01,21.912039212283556
2024-08-01,21.88999840712617
2024-09-01,10.552700624669342
2024-10-01,12.442078999539925
2024-11-01,43.52000865670386
2024-12-01,63.553503037415304
2025-01-01,157.28834208441205
2025-02-01,154.2927693676981
2025-03-01,205.693750399642
2025-04-01,270.45420976039827
2025-05-01,376.2643445604911
2025-06-01,60.6401688018585
2025-07-01,18.700389820650443
2025-08-01,16.670725257920616
2025-09-01,9.673178241981457
2025-10-01,9.813100519802752
2025-11-01,105.31710715110553
2025-12-01,132.78113383041705
2026-01-01,429.4118560136583
2026-02-01,331.99657902208264
2026-03-01,286.5347883143194
2026-04-01,278.1994990602072
2026-05-01,403.20580418811113
2026-06-01,289.2514564131153
2026-07-01,131.42387241899678
2026-08-01,25.78581840015215
2026-09-01,12.57575248918437
2026-10-01,17.03676776047977
2026-11-01,72.0373361616555
2026-12-01,139.47644596036847
2027-01-01,246.40285311523928
2027-02-01,414.1391642465052
2027-03-01,464.477160947864
2027-04-01,310.7454641715974
2027-05-01,456.1135356582781
2027-06-01,661.4373853576427
2027-07-01,223.58628745591972
2027-08-01,40.65080084039916
2027-09-01,16.265686050182797
2027-10-01,21.729671641328636
2027-11-01,38.90204796835896
2027-12-01,96.53214654913663
2028-01-01,166.55110434443353
2028-02-01,252.34580648311916
2028-03-01,258.67385926881883
2028-04-01,252.79414861465816
2028-05-01,609.0007341566553
2028-06-01,467.08362427564435
2028-07-01,103.6872220472692
2028-08-01,22.813701319772655
2028-09-01,12.567707996011249
2028-10-01,10.932430095892594
2028-11-01,31.24862425476711
2028-12-01,33.256936219005134
2029-01-01,54.03174307815572
2029-02-01,172.80105077684706
2029-03-01,234.480685760065
2029-04-01,177.25549574590985
2029-05-01,298.0203295324031
2029-06-01,124.7426574579758
2029-07-01,30.908965789566338
2029-08-01,16.5703296984556
2029-09-01,71.58915582656712
2029-10-01,48.25077026037006
2029-11-01,125.54149649658316
2029-12-01,242.72108113688174
2030-01-01,401.24235239730353
2030-02-01,279.3249078457417
2030-03-01,325.8579432245958
2030-04-01,338.2806553093801
2030-05-01,460.51734333957637
2030-06-01,377.68197103066916
