WY,flow
2006,1402.3659822175946
2007,4090.2871392939755
2008,1029.4684999719173
2009,2719.5142510883434
2010,2422.9682243909474
2011,3452.6843364081597
2012,5766.192923773129
2013,1937.3799267530346
2014,3082.7555441846303
2015,1411.0948801377417
2016,2319.223037129509
2017,628.6799598511875
2018,5410.859287768466
2019,4484.805584056926
2020,730.8026906613171
2021,1448.4545834069713
2022,2680.410455162886
2023,3582.295916847152
2024,1042.7611581927804
2025,2127.2554699927264
2026,2050.2411465061746
2027,1237.223546460483
2028,2236.240958137345
2029,3603.857850271992
2030,1248.0059746376915
2031,4344.893914473297
2032,1256.3968456425562
2033,3897.6226258284173
2034,1801.9897677002461
2035,522.1764712708907
2036,4067.9440795647065
2037,3613.384189902109
2038,2493.676113392268
2039,2306.2487885197193
2040,367.0406033196836
2041,3206.8517418401743
2042,2200.212877068344
2043,1792.585802116224
2044,2794.5603298855494
2045,3008.1775174195186
2046,1329.6816769540992
2047,1082.693343115153
2048,1472.3026106520074
2049,1450.9677702213928
2050,3916.572123676646
2051,1688.9213488599241
2052,2529.8880803815323
2053,1384.763218245861
2054,2247.638035343711
2055,2322.523619080105
2056,1751.4817346506736
2057,4473.247592345832
2058,315.2379429002622
2059,4975.052213546629
2060,1178.2376015388907
2061,1594.8188251476781
2062,2935.656872988956
2063,4005.892898444526
2064,1080.8482239827906
2065,363.09904342385045
2066,3499.34524762989
2067,4134.7767565098075
2068,3568.5968034393227
2069,3092.2801570945817
2070,1406.8388461262225
2071,1235.7418099862348
2072,650.7681380294628
2073,3067.9587796560163
2074,4619.55065127277
2075,818.8871171610378
2076,4412.534848601074
2077,3549.218549758336
2078,704.1481843860413
2079,1848.042839378229
2080,1080.1796290045338
2081,722.1449614901339
2082,2345.590635228823
2083,3781.3166336488603
2084,1573.535490106276
2085,2014.349040265925
2086,2373.916342731879
2087,2500.652304383421
2088,1061.6599035890272
2089,417.3358233255136
2090,2226.803283946202
2091,3641.621356903039
2092,2104.4684712525604
2093,3638.133803224956
2094,2697.53197464564
2095,2154.194810899208
2096,4131.482648867883
2097,1673.6353135509032
2098,1282.0694298910098
2099,2193.4944740248593
2100,52.4860591136255
