Water Year,SJVI (maf)
2015,3.5
2016,3.384959654569793
2017,5.1936427388228585
2018,3.034317501545993
2019,4.472573732259692
2020,2.817769388743819
2021,5.327660101418414
2022,2.7953788209431285
2023,3.416804690469269
2024,2.275586793816994
2025,2.400461675112432
2026,4.211354537271772
2027,5.972163101530929
2028,5.248006137129362
2029,3.1480700406242423
2030,5.00271299209789
2031,1.7643976026818557
2032,4.14667992086705
2033,4.975987792678962
2034,2.5536898182696284
2035,2.0811304303168954
2036,1.7922467982454076
2037,2.1249304571370855
2038,1.3786524053830775
2039,2.671562337160428
2040,2.9204995817533526
2041,4.290992341191221
2042,3.9544922010674766
2043,2.3232799597816274
2044,2.193516035355248
2045,3.2390488199292204
2046,5.596749681257631
2047,3.076383612869957
2048,1.7851455082798517
2049,3.284291090316314
2050,3.9595416776693138
2051,2.9597131076917726
2052,4.055645882088001
2053,3.492553292882009
2054,1.6026097158210093
2055,1.7689573707404658
2056,1.971249110682471
2057,1.7684136543237685
2058,3.52443275145817
2059,2.650719465572443
2060,3.1113493327394393
2061,4.628103264464125
2062,4.038347538389788
2063,2.645472776671289
2064,4.573396088242252
2065,5.17851135504286
2066,1.5472104762064525
2067,1.3036907564546993
2068,2.8362743013680616
2069,5.849384154269659
2070,5.712276504243201
2071,4.932332758025986
2072,2.0819404424314496
2073,3.044052590685968
2074,4.175649443605715
2075,2.7296280294454305
2076,2.6182106613788725
2077,4.357281824254006
2078,3.0167825957144494
2079,4.182960353159332
2080,3.1930885910540496
2081,2.665806057453031
2082,3.8926705140364506
2083,4.833966586402263
2084,5.1173371446125335
2085,2.800997197029538
2086,3.3592992729021542
2087,1.95571807075493
2088,1.3326428248471283
2089,3.104939215687838
2090,1.427933084641663
2091,3.396296224912445
2092,3.186624564105219
2093,2.7736221954049025
2094,3.4292728954133143
2095,1.4441870352645823
2096,1.2216379916483975
2097,0.8279474846207653
2098,2.8814260194513923
2099,3.3445338446866657
2100,4.643000762750551
