WY,flow
2015,3073.171730557641
2016,2324.19776566353
2017,4218.767909192397
2018,2373.7779195529197
2019,3294.8366113182296
2020,1700.2687675133209
2021,4146.281719394738
2022,1854.7010953946628
2023,2161.09746030325
2024,1748.998644800456
2025,1673.218248364111
2026,3316.9821885676506
2027,4845.453630391065
2028,3493.8602247414565
2029,2029.3173947216635
2030,4260.0632381770765
2031,1046.49478250028
2032,3114.6977744322235
2033,3685.387910259796
2034,1580.5869307246562
2035,1619.8849086433822
2036,1240.3098676670027
2037,1831.2883705075703
2038,1094.5834578080157
2039,2453.685641602184
2040,2194.946072134529
2041,3254.924574551821
2042,2856.3086882106672
2043,1645.1837020135886
2044,1470.8248774970043
2045,2801.6975261489124
2046,3738.9892198517227
2047,1937.0246514910866
2048,1333.688742731719
2049,2983.9329615323854
2050,2773.152800956454
2051,2081.077492798174
2052,3663.2895057966707
2053,2286.4763150083877
2054,998.4758698527538
2055,1937.203180572264
2056,1517.8682135539389
2057,1349.78987371017
2058,3530.7429442012563
2059,1896.3399657314817
2060,2698.2279642597136
2061,3566.825416267647
2062,2921.5827575340786
2063,1854.5157851115712
2064,3322.7621505693423
2065,4086.0850909065075
2066,777.6247453720443
2067,1395.7464145819333
2068,2691.0389171426464
2069,4814.161246610042
2070,4637.466401558038
2071,3285.6498027166213
2072,991.5462106865649
2073,2435.843801812431
2074,3427.931680638543
2075,2102.3723111355857
2076,2393.9038325450524
2077,3992.6346036455875
2078,2207.684312024504
2079,3559.6338344929527
2080,2744.229101245716
2081,2473.750824149282
2082,2950.319188206554
2083,3567.4536767315467
2084,4166.194432105532
2085,2028.3175721394432
2086,2898.7918352812503
2087,1602.2569162116988
2088,1334.4685223342697
2089,2599.9960831163967
2090,1177.5479656424257
2091,2983.831478720614
2092,2793.0486060247017
2093,1933.8837414863913
2094,3140.4998771490023
2095,1013.9134857346651
2096,1029.6042685573107
2097,766.2726163566053
2098,3244.2096925636597
2099,2686.332988971045
2100,3904.9065552410293
2101,304.6330208942271
