node,MID Northside,MID Northside,MID Main,MID Main,Merced River Outflow,Merced River Outflow
IFRs,Baseline,natural_flow,Baseline,natural_flow,Baseline,natural_flow
Date,,,,,,
1990-10-01,0.07632926309283228,0.07632926309283228,10.0,10.0,0.0,0.0
1990-10-02,0.07632926309283228,0.07632926309283228,10.0,10.0,0.0,0.0
1990-10-03,0.0689186550185159,0.0689186550185159,10.0,10.0,0.0,0.0
1990-10-04,0.07114183744599778,0.07114183744599778,10.0,10.0,0.0,0.0
1990-10-05,0.06854812462258053,0.06854812462258053,10.0,10.0,0.0,0.0
1990-10-06,0.06410175976761678,0.06410175976761678,10.0,10.0,0.0,0.0
1990-10-07,0.06447229018948875,0.06447229018948875,10.0,10.0,0.0,0.0
1990-10-08,0.07077130705006418,0.07077130705006418,10.0,10.0,0.0,0.0
1990-10-09,0.0674365334088396,0.0674365334088396,10.0,10.0,0.0,0.0
1990-10-10,0.06669547259103403,0.06669547259103403,10.0,10.0,0.0,0.0
1990-10-11,0.06410175976761678,0.06410175976761678,10.0,10.0,0.0,0.0
1990-10-12,0.061508046944199535,0.06150804694419988,6.877643070129167,6.877643070129167,0.0,0.0
1990-10-13,0.047057361217439427,0.047057361217439427,0.03545332646189087,0.03545332646189087,0.0,0.0
1990-10-14,0.046316300425570084,0.046316300425570084,0.036128728772625116,0.036128728772625116,0.0,0.0
1990-10-15,0.044834178815894285,0.044834178815894285,0.03754162176573651,0.03754162176573651,0.0,0.0
1990-10-16,0.04557523960776363,0.04557523960776363,0.036732738539697975,0.036732738539697975,0.0,0.0
1990-10-17,0.045945770003698296,0.045945770003698296,0.04069555976234581,0.04069555976234581,0.0,0.0
1990-10-18,0.04001728356499509,0.04001728356499509,0.05054337305724911,0.05054337305724911,0.0,0.0
1990-10-19,0.04001728356499509,0.04001728356499509,0.049929048595547004,0.049929048595547004,0.0,0.0
1990-10-20,0.0444636483940225,0.0444636483940225,0.0377933715353766,0.0377933715353766,0.0,0.0
1990-10-21,0.04742789163931123,0.04742789163931123,0.034672200601082476,0.034672200601082476,0.0,0.0
1990-10-22,0.03964675316906043,0.03964675316906043,0.046357855370059674,0.046357855370059674,0.0,0.0
1990-10-23,0.04001728356499509,0.04001728356499509,0.04201247520240621,0.04201247520240621,0.0,0.0
1990-10-24,0.038164631533447506,0.038164631533447506,0.04381751798827919,0.04381751798827919,0.0,0.0
1990-10-25,0.03779410113751284,0.03779410113751284,0.044131898018172265,0.044131898018172265,0.0,0.0
1990-10-26,0.045204709211828974,0.045204709211828974,0.03665908581398323,0.03665908581398323,0.0,0.0
1990-10-27,0.04038781396092977,0.04038781396092977,0.041416876918877125,0.041416876918877125,0.0,0.0
1990-10-28,0.0370530403456435,0.0370530403456435,0.04469799977529929,0.04469799977529929,0.0,0.0
1990-10-29,0.03742357074157816,0.03742357074157816,0.04428218799242764,0.04428218799242764,0.0,0.0
