node,MID Northside,MID Northside,MID Main,MID Main
IFRs,Baseline,natural_flow,Baseline,natural_flow
Date,,,,
1990-10-01,0.07632926309283213,0.07632926309283213,1.177552612851424,1.177552612851424
1990-10-02,0.07632926309283213,0.07632926309283213,1.806776158068573,1.806776158068573
1990-10-03,0.068918655018516,0.068918655018516,1.8972345143829217,1.8972345143829217
1990-10-04,0.07114183744599828,0.07114183744599828,1.7191072664888425,1.7191072664888425
1990-10-05,0.06854812462258134,0.06854812462258134,1.7111373671275278,1.7111373671275278
1990-10-06,0.06410175976761681,0.06410175976761681,1.6963930534904106,1.6963930534904106
1990-10-07,0.0644722901894886,0.0644722901894886,1.6410022539195328,1.6410022539195328
1990-10-08,0.07077130705006361,0.07077130705006361,1.6481751633168211,1.6481751633168211
1990-10-09,0.06743653340884022,0.06743653340884022,1.6505661329299535,1.6505661329299535
1990-10-10,0.06669547259103374,0.06669547259103374,1.6071301819826278,1.6071301819826278
1990-10-11,0.06410175976761681,0.06410175976761681,1.591190383538945,1.591190383538945
1990-10-12,0.06150804694419988,0.06150804694419988,1.5605062714581446,1.5605062714581446
1990-10-13,0.047057361217439427,0.047057361217439427,1.1297332175203745,1.1297332175203745
1990-10-14,0.046316300425570084,0.046316300425570084,1.057605629262841,1.057605629262841
1990-10-15,0.044834178815894285,0.044834178815894285,1.0512297101085248,1.0512297101085248
1990-10-16,0.04557523960776363,0.04557523960776363,1.0038088096200153,1.0038088096200153
1990-10-17,0.045945770003698296,0.045945770003698296,0.9336736961330739,0.9336736961330739
1990-10-18,0.04001728356499509,0.04001728356499509,0.883463330909946,0.883463330909946
1990-10-19,0.04001728356499509,0.04001728356499509,0.8412228650481329,0.8412228650481329
1990-10-20,0.0444636483940225,0.0444636483940225,0.845207814589317,0.845207814589317
1990-10-21,0.04742789163931123,0.04742789163931123,0.8121327326164387,0.8121327326164387
1990-10-22,0.03964675316906043,0.03964675316906043,0.6108927768813875,0.6108927768813875
1990-10-23,0.04001728356499509,0.04001728356499509,0.7005541432317101,0.7005541432317101
1990-10-24,0.038164631533447506,0.038164631533447506,0.8436138346612649,0.8436138346612649
1990-10-25,0.03779410113751284,0.03779410113751284,0.6603061521404892,0.6603061521404892
1990-10-26,0.045204709211828974,0.045204709211828974,0.7017496283172225,0.7017496283172225
1990-10-27,0.04038781396092977,0.04038781396092977,0.6750504657776065,0.6750504657776065
1990-10-28,0.0370530403456435,0.0370530403456435,0.5666598359700361,0.5666598359700361
1990-10-29,0.03742357074157816,0.03742357074157816,0.4710210453079374,0.4710210453079374
1990-10-30,0.03557091871003057,0.03557091871003057,0.1685633689673424,0.1685633689673424
1990-10-31,0.0073488529988167345,0.0073488529988167345,0.12911236772856907,0.12911236772856907
1990-11-01,0.006484282058542328,0.006484282058542328,0.091122514673493,0.091122514673493
1990-11-02,0.006484282058542328,0.006484282058542328,0.091122514673493,0.091122514673493
1990-11-03,0.007040077662819179,0.007040077662819179,0.1120435001831296,0.1120435001831296
1990-11-04,0.009263260082520305,0.009263260082520305,0.15421755034013293,0.15421755034013293
1990-11-05,0.009263260082520305,0.009263260082520305,0.15421755034013293,0.15421755034013293
1990-11-06,0.008892729681398212,0.008892729681398212,0.16099196467172458,0.16099196467172458
1990-11-07,0.007781138470250793,0.007781138470250793,0.16099196467172458,0.16099196467172458
1990-11-08,0.007781138470250793,0.007781138470250793,0.16099196467172458,0.16099196467172458
1990-11-09,0.007781138470250793,0.007781138470250793,0.1605934697176062,0.1605934697176062
1990-11-10,0.007781138470250793,0.007781138470250793,0.11855225122127387,0.11855225122127387
1990-11-11,0.007781138470250793,0.007781138470250793,0.11855225122127387,0.11855225122127387
1990-11-12,0.007781138470250793,0.007781138470250793,0.11855225122127387,0.11855225122127387
1990-11-13,0.007781138470250793,0.007781138470250793,0.1152978756882544,0.1152978756882544
1990-11-14,0.0073488529988167345,0.0073488529988167345,0.11297332175203743,0.11297332175203743
1990-11-15,0.01469770600022718,0.01469770600022718,0.11297332175203743,0.11297332175203743
1990-11-16,0.009510280353393318,0.009510280353393318,0.11297332175203743,0.11297332175203743
1990-11-17,0.009510280353393318,0.009510280353393318,0.11297332175203743,0.11297332175203743
1990-11-18,0.006051996587108269,0.006051996587108269,0.11390314332094531,0.11390314332094531
