Day of year,Hetch Hetchy Reservoir,Cherry Lake,Lake Eleanor,Don Pedro Reservoir
194,360400,271248.3871,27100,1999032.258
195,360400,271077.4194,27100,1996451.613
196,360400,270906.4516,27100,1993870.968
197,360400,270735.4839,27100,1991290.323
198,360400,270564.5161,27100,1988709.677
199,360400,270393.5484,27100,1986129.032
200,360400,270222.5806,27100,1983548.387
201,360400,270051.6129,27100,1980967.742
202,360400,269880.6452,27100,1978387.097
203,360400,269709.6774,27100,1975806.452
204,360400,269538.7097,27100,1973225.806
205,360400,269367.7419,27100,1970645.161
206,360400,269196.7742,27100,1968064.516
207,360400,269025.8065,27100,1965483.871
208,360400,268854.8387,27100,1962903.226
209,360400,268683.871,27100,1960322.581
210,360400,268512.9032,27100,1957741.935
211,360400,268341.9355,27100,1955161.29
212,360400,268170.9677,27100,1952580.645
213,360400,268000,27100,1950000
214,360400,267677.4194,27100,1944838.71
215,360400,267354.8387,27100,1939677.419
216,360400,267032.2581,27100,1934516.129
217,360400,266709.6774,27100,1929354.839
218,360400,266387.0968,27100,1924193.548
219,360400,266064.5161,27100,1919032.258
220,360400,265741.9355,27100,1913870.968
221,360400,265419.3548,27100,1908709.677
222,360400,265096.7742,27100,1903548.387
223,360400,264774.1935,27100,1898387.097
224,360400,264451.6129,27100,1893225.806
225,360400,264129.0323,27100,1888064.516
226,360400,263806.4516,27100,1882903.226
227,360400,263483.871,27100,1877741.935
228,360400,263161.2903,27100,1872580.645
229,360400,262838.7097,27100,1867419.355
230,360400,262516.129,27100,1862258.065
231,360400,262193.5484,27100,1857096.774
232,360400,261870.9677,27100,1851935.484
233,360400,261548.3871,27100,1846774.194
234,360400,261225.8065,27100,1841612.903
235,360400,260903.2258,27100,1836451.613
236,360400,260580.6452,27100,1831290.323
237,360400,260258.0645,27100,1826129.032
238,360400,259935.4839,27100,1820967.742
239,360400,259612.9032,27100,1815806.452
240,360400,259290.3226,27100,1810645.161
241,360400,258967.7419,27100,1805483.871
242,360400,258645.1613,27100,1800322.581
243,360400,258322.5806,27100,1795161.29
244,360400,258000,27100,1790000
245,360400,257666.6667,26796.66667,1787000
246,360400,257333.3333,26493.33333,1784000
247,360400,257000,26190,1781000
248,360400,256666.6667,25886.66667,1778000
249,360400,256333.3333,25583.33333,1775000
250,360400,256000,25280,1772000
251,360400,255666.6667,24976.66667,1769000
252,360400,255333.3333,24673.33333,1766000
253,360400,255000,24370,1763000
254,360400,254666.6667,24066.66667,1760000
255,360400,254333.3333,23763.33333,1757000
256,360400,254000,23460,1754000
257,360400,253666.6667,23156.66667,1751000
258,360400,253333.3333,22853.33333,1748000
259,360400,253000,22550,1745000
260,360400,252666.6667,22246.66667,1742000
261,360400,252333.3333,21943.33333,1739000
262,360400,252000,21640,1736000
263,360400,251666.6667,21336.66667,1733000
264,360400,251333.3333,21033.33333,1730000
265,360400,251000,20730,1727000
266,360400,250666.6667,20426.66667,1724000
267,360400,250333.3333,20123.33333,1721000
268,360400,250000,19820,1718000
269,360400,249666.6667,19516.66667,1715000
270,360400,249333.3333,19213.33333,1712000
271,360400,249000,18910,1709000
272,360400,248666.6667,18606.66667,1706000
273,360400,248333.3333,18303.33333,1703000
274,360400,248000,18000,1700000
275,359419.3548,248000,17870.96774,1710645.161
276,358438.7097,248000,17741.93548,1721290.323
277,357458.0645,248000,17612.90323,1731935.484
278,356477.4194,248000,17483.87097,1742580.645
279,355496.7742,248000,17354.83871,1753225.806
280,354516.129,248000,17225.80645,1763870.968
281,353535.4839,248000,17096.77419,1774516.129
282,352554.8387,248000,16967.74194,1785161.29
283,351574.1935,248000,16838.70968,1795806.452
284,350593.5484,248000,16709.67742,1806451.613
285,349612.9032,248000,16580.64516,1817096.774
286,348632.2581,248000,16451.6129,1827741.935
287,347651.6129,248000,16322.58065,1838387.097
288,346670.9677,248000,16193.54839,1849032.258
289,345690.3226,248000,16064.51613,1859677.419
290,344709.6774,248000,15935.48387,1870322.581
291,343729.0323,248000,15806.45161,1880967.742
292,342748.3871,248000,15677.41935,1891612.903
293,341767.7419,248000,15548.3871,1902258.065
294,340787.0968,248000,15419.35484,1912903.226
295,339806.4516,248000,15290.32258,1923548.387
296,338825.8065,248000,15161.29032,1934193.548
297,337845.1613,248000,15032.25806,1944838.71
298,336864.5161,248000,14903.22581,1955483.871
299,335883.871,248000,14774.19355,1966129.032
300,334903.2258,248000,14645.16129,1976774.194
301,333922.5806,248000,14516.12903,1987419.355
302,332941.9355,248000,14387.09677,1998064.516
303,331961.2903,248000,14258.06452,2008709.677
304,330980.6452,248000,14129.03226,2019354.839
305,330000,248000,14000,2030000
306,330000,248000,14249.83333,2030000
307,330000,248000,14499.66667,2030000
308,330000,248000,14749.5,2030000
