Day of year,Hetch Hetchy Reservoir,Cherry Lake,Lake Eleanor,Don Pedro Reservoir
1,330000,248000,21495,1690000
2,330000,248000,21495,1690000
3,330000,248000,21495,1690000
4,330000,248000,21495,1690000
5,330000,248000,21495,1690000
6,330000,248000,21495,1690000
7,330000,248000,21495,1690000
8,330000,248000,21495,1690000
9,330000,248000,21495,1690000
10,330000,248000,21495,1690000
11,330000,248000,21495,1690000
12,330000,248000,21495,1690000
13,330000,248000,21495,1690000
14,330000,248000,21495,1690000
15,330000,248000,21495,1690000
16,330000,248000,21495,1690000
17,330000,248000,21495,1690000
18,330000,248000,21495,1690000
19,330000,248000,21495,1690000
20,330000,248000,21495,1690000
21,330000,248000,21495,1690000
22,330000,248000,21495,1690000
23,330000,248000,21495,1690000
24,330000,248000,21495,1690000
25,330000,248000,21495,1690000
26,330000,248000,21495,1690000
27,330000,248000,21495,1690000
28,330000,248000,21495,1690000
29,330000,248000,21495,1690000
30,330000,248000,21495,1690000
31,330000,248000,21495,1690000
32,330000,248000,21495,1690000
33,330000,248000,21495,1690000
34,330000,248000,21495,1690000
35,330000,248000,21495,1690000
36,330000,248000,21495,1690000
37,330000,248000,21495,1690000
38,330000,248000,21495,1690000
39,330000,248000,21495,1690000
40,330000,248000,21495,1690000
41,330000,248000,21495,1690000
42,330000,248000,21495,1690000
43,330000,248000,21495,1690000
44,330000,248000,21495,1690000
45,330000,248000,21495,1690000
46,330000,248000,21495,1690000
47,330000,248000,21495,1690000
48,330000,248000,21495,1690000
49,330000,248000,21495,1690000
50,330000,248000,21495,1690000
51,330000,248000,21495,1690000
52,330000,248000,21495,1690000
53,330000,248000,21495,1690000
54,330000,248000,21495,1690000
55,330000,248000,21495,1690000
56,330000,248000,21495,1690000
57,330000,248000,21495,1690000
58,330000,248000,21495,1690000
59,330000,248000,21495,1690000
60,330000,248000,21495,1690000
61,330000,248000,21495,1690000
62,330000,248000,21495,1690000
63,330000,248000,21495,1690000
64,330000,248000,21495,1690000
65,330000,248000,21495,1690000
66,330000,248000,21495,1690000
67,330000,248000,21495,1690000
68,330000,248000,21495,1690000
69,330000,248000,21495,1690000
70,330000,248000,21495,1690000
71,330000,248000,21495,1690000
72,330000,248000,21495,1690000
73,330000,248000,21495,1690000
74,330000,248000,21495,1690000
75,330000,248000,21495,1690000
76,330000,248000,21495,1690000
